model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,ram_gb,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6
Stacking,symmetric,0.0,0,80000,20000,0.0,249.55406999588013,3.805536256,0.92555,0.8883991441620723,0.9252490569081833,0.9315355595920078,0.914289632473944,0.9228320298982629,7292,0.9272161429575344,0.9470877768662839,0.9370466189823974,9752,0.9169381107491856,0.9147034930950447,0.9158194387962586,1231,0.8631578947368421,0.8723404255319149,0.8677248677248677,94,0.8721804511278195,0.709480122324159,0.7824620573355818,327,0.8675721561969439,0.8545150501672241,0.8609941027801179,598,0.9332386363636364,0.9305949008498584,0.9319148936170213,706
Stacking,symmetric,0.0,1,80000,20000,0.0,250.3092658519745,4.429934592,0.92845,0.8889650753418392,0.9282080378796851,0.9334632516703786,0.91963795940757,0.9264990328820116,7292,0.9307916708580626,0.94883100902379,0.9397247753008683,9752,0.9258064516129032,0.9325751421608448,0.9291784702549575,1231,0.8631578947368421,0.8723404255319149,0.8677248677248677,94,0.8356643356643356,0.7308868501529052,0.7797716150081566,327,0.8715753424657534,0.8511705685618729,0.8612521150592216,598,0.9432835820895522,0.8951841359773371,0.9186046511627907,706
Stacking,symmetric,0.0,2,80000,20000,0.0,245.71927332878113,4.082634752,0.9261,0.8835323747350419,0.9258299363198966,0.931878584417401,0.9136039495337356,0.9226507859566512,7292,0.927373179306881,0.9466776045939295,0.9369259653930075,9752,0.9117415287628053,0.9398862713241267,0.9256,1231,0.8658536585365854,0.7473684210526316,0.8022598870056498,95,0.8673835125448028,0.7423312883435583,0.8,326,0.8754266211604096,0.8578595317725752,0.8665540540540541,598,0.9485294117647058,0.9135977337110481,0.9307359307359307,706
Stacking,symmetric,0.0,3,80000,20000,0.0,250.5310833454132,4.055867392,0.92635,0.8875133811503207,0.9261314829954094,0.9329149232914923,0.9173066374108613,0.9250449453740838,7292,0.9300896544776871,0.946780147662018,0.9383606890594034,9752,0.9014195583596214,0.9285134037367994,0.9147659063625451,1231,0.9285714285714286,0.8210526315789474,0.8715083798882681,95,0.8344594594594594,0.7553516819571865,0.7929373996789727,327,0.8581436077057794,0.8207705192629816,0.839041095890411,597,0.945906432748538,0.9164305949008499,0.9309352517985612,706
Stacking,symmetric,0.0,4,80000,20000,0.0,248.37899684906006,4.079837184,0.92925,0.8988543711610585,0.929051520051103,0.9360391882435269,0.9171695008228196,0.9265082773429383,7292,0.9273619877767759,0.9491386382280558,0.9381239547965338,9752,0.9344262295081968,0.926829268292683,0.9306122448979591,1230,0.8842105263157894,0.8842105263157894,0.8842105263157894,95,0.8531468531468531,0.746177370030581,0.7960848287112561,327,0.8836424957841484,0.8762541806020067,0.8799328295549959,598,0.9544117647058824,0.9192634560906515,0.9365079365079365,706
Stacking,symmetric,0.1,0,80000,20000,10.13875,288.1805214881897,4.473810944,0.912,0.8615318965249305,0.9113866049522429,0.9202583181243857,0.8989303346132749,0.9094693028095734,7292,0.9127323327701024,0.9416529942575882,0.9269671427850401,9752,0.8903122497998399,0.9033306255077173,0.896774193548387,1231,0.9230769230769231,0.7659574468085106,0.8372093023255814,94,0.8706896551724138,0.617737003058104,0.7227191413237924,327,0.8330522765598651,0.8260869565217391,0.8295549958018472,598,0.9367469879518072,0.8810198300283286,0.908029197080292,706
Stacking,symmetric,0.1,1,80000,20000,9.936250000000001,293.4165074825287,4.480311296,0.91455,0.8550878582159865,0.9140455448174509,0.9244649601342845,0.906335710367526,0.9153105740599682,7292,0.9187162567486503,0.9422682526661198,0.9303432216259998,9752,0.8878357030015798,0.9130787977254264,0.9002803364036844,1231,0.8409090909090909,0.7872340425531915,0.8131868131868132,94,0.8181818181818182,0.6605504587155964,0.7309644670050761,327,0.8297872340425532,0.782608695652174,0.8055077452667814,598,0.9160419790104948,0.8654390934844193,0.8900218499635834,706
Stacking,symmetric,0.1,2,80000,20000,10.19375,286.7926535606384,4.849524736,0.9107,0.8501084729339075,0.9102118333718987,0.9178351093662367,0.8976961053208996,0.9076539101497504,7292,0.9136086391360864,0.9369360131255127,0.9251252974231762,9752,0.8830364058869093,0.9260763606823721,0.9040444091990484,1231,0.8181818181818182,0.6631578947368421,0.7325581395348837,95,0.8141263940520446,0.6717791411042945,0.7361344537815127,326,0.866785079928952,0.8160535117056856,0.8406546080964685,598,0.9310344827586207,0.8796033994334278,0.9045884923525127,706
Stacking,symmetric,0.1,3,80000,20000,10.08375,302.4576225280762,4.818714624,0.911,0.8545722155572972,0.9105272329340011,0.9212299915754002,0.899753154141525,0.910364922991536,7292,0.9138841821987441,0.9402173913043478,0.9268637856962345,9752,0.8776806989674345,0.8976441917140536,0.8875502008032129,1231,0.8372093023255814,0.7578947368421053,0.7955801104972375,95,0.8333333333333334,0.6880733944954128,0.7537688442211056,327,0.8300180831826401,0.7688442211055276,0.7982608695652174,597,0.9290989660265879,0.8909348441926346,0.9096167751265365,706
Stacking,symmetric,0.1,4,80000,20000,10.10875,286.8887720108032,4.678590464,0.91325,0.8586943813745024,0.912744807878953,0.9226883681773538,0.9018102029621503,0.9121298286982453,7292,0.9127363184079602,0.9406275635767022,0.9264720735279265,9752,0.9045676998368679,0.9016260162601626,0.9030944625407166,1230,0.8152173913043478,0.7894736842105263,0.8021390374331551,95,0.8181818181818182,0.6330275229357798,0.7137931034482758,327,0.8402061855670103,0.8177257525083612,0.8288135593220339,598,0.9492537313432836,0.9008498583569405,0.9244186046511628,706
Stacking,symmetric,0.2,0,80000,20000,19.885,304.14017844200134,5.214695424,0.8979,0.8234866241022419,0.8968117422535268,0.9102618542108988,0.8819253976961053,0.895869610642892,7292,0.8986579830274324,0.9338597210828548,0.9159207482651112,9752,0.8743083003952569,0.8984565393988627,0.8862179487179487,1231,0.8125,0.6914893617021277,0.7471264367816092,94,0.8407960199004975,0.5168195718654435,0.6401515151515151,327,0.7934595524956971,0.7709030100334449,0.7820186598812553,598,0.9183976261127597,0.876770538243626,0.8971014492753623,706
Stacking,symmetric,0.2,1,80000,20000,20.07125,304.8108277320862,5.262311424,0.90085,0.8329570234674998,0.9000025394330029,0.9127620655691572,0.8896050466264399,0.9010347940829224,7292,0.9038556844087621,0.935090237899918,0.9192077012247366,9752,0.8729281767955801,0.8984565393988627,0.8855084067253803,1231,0.8,0.8085106382978723,0.8042328042328042,94,0.8122270742358079,0.5688073394495413,0.6690647482014388,327,0.8077601410934744,0.7658862876254181,0.7862660944206008,598,0.9055727554179567,0.8286118980169972,0.8653846153846154,706
Stacking,symmetric,0.2,2,80000,20000,19.92625,309.0473823547363,5.12366592,0.8966,0.822826110883825,0.8957509615426258,0.9053636618927268,0.884256719692814,0.8946857222145137,7292,0.9014547628537266,0.9277071369975389,0.9143925611481706,9752,0.862413528055342,0.9114541023558083,0.8862559241706162,1231,0.8356164383561644,0.6421052631578947,0.7261904761904762,95,0.8116591928251121,0.5552147239263804,0.6593806921675774,326,0.8006700167504187,0.7993311036789298,0.8,598,0.9182098765432098,0.8427762039660056,0.8788774002954209,706
Stacking,symmetric,0.2,3,80000,20000,20.09,302.6954276561737,5.199171584,0.8987,0.8325428013451649,0.8978045579639347,0.9129818594104309,0.8834339001645639,0.8979648731530527,7292,0.8978848991637973,0.9359105824446268,0.9165034894813476,9752,0.8664571877454831,0.8960194963444355,0.8809904153354633,1231,0.8933333333333333,0.7052631578947368,0.788235294117647,95,0.8158995815899581,0.5963302752293578,0.6890459363957597,327,0.8011152416356877,0.7219430485762144,0.7594713656387665,597,0.9311926605504587,0.8626062322946175,0.8955882352941177,706
Stacking,symmetric,0.2,4,80000,20000,20.01875,304.9171006679535,4.923314176,0.90025,0.830562320186678,0.899228336885281,0.9096140350877193,0.8887822270981898,0.8990774779773878,7292,0.8995456341367049,0.9338597210828548,0.9163815657073858,9752,0.8904991948470209,0.8991869918699187,0.8948220064724919,1230,0.8313253012048193,0.7263157894736842,0.7752808988764045,95,0.7990654205607477,0.5229357798165137,0.6321626617375231,327,0.8199300699300699,0.7842809364548495,0.8017094017094017,598,0.940625,0.8526912181303116,0.8945022288261516,706
Stacking,symmetric,0.3,0,80000,20000,29.898750000000003,314.78606629371643,5.717958656,0.8815,0.7873828614822898,0.8798399502417331,0.8963752665245203,0.8647833241908941,0.8802959447197599,7292,0.8801986948475699,0.926681706316653,0.9028422998151756,9752,0.8609539207760711,0.8651502843216897,0.8630470016207455,1231,0.7971014492753623,0.5851063829787234,0.6748466257668712,94,0.8055555555555556,0.4434250764525994,0.571992110453649,327,0.7791304347826087,0.7491638795986622,0.7638533674339301,598,0.9010989010989011,0.8130311614730878,0.8548026805658973,706
Stacking,symmetric,0.3,1,80000,20000,30.056250000000002,312.0801374912262,5.854580736,0.8814,0.7834927724859736,0.8796675165800136,0.8926466460847601,0.8723258365331871,0.8823692606464142,7292,0.8841505355212734,0.9226825266611977,0.9030056701289578,9752,0.8500784929356358,0.8797725426482534,0.8646706586826347,1231,0.7532467532467533,0.6170212765957447,0.6783625730994152,94,0.8066298342541437,0.44648318042813456,0.5748031496062992,327,0.7855787476280834,0.6923076923076923,0.736,598,0.890282131661442,0.8045325779036827,0.8452380952380952,706
Stacking,symmetric,0.3,2,80000,20000,30.03125,312.56858468055725,5.81793792,0.8811,0.7797788055219572,0.8792505682836605,0.8922968197879859,0.865743280307186,0.8788195169485626,7292,0.8829693467828812,0.9245283018867925,0.9032710514451736,9752,0.8456883509833586,0.9082047116165719,0.8758323540932237,1231,0.78125,0.5263157894736842,0.6289308176100629,95,0.8076923076923077,0.450920245398773,0.5787401574803149,326,0.813780260707635,0.7307692307692307,0.7700440528634361,598,0.8883415435139573,0.7662889518413598,0.8228136882129278,706
Stacking,symmetric,0.3,3,80000,20000,29.983749999999997,314.8526463508606,5.528506368,0.8791,0.7661683563000995,0.8765560788436931,0.8943433488503315,0.8694459681843115,0.8817189347055142,7292,0.8787347931873479,0.9258613617719442,0.9016827283167723,9752,0.8341049382716049,0.8781478472786353,0.8555599525128611,1231,0.8253968253968254,0.5473684210526316,0.6582278481012658,95,0.8,0.3547400611620795,0.4915254237288136,327,0.7820267686424475,0.6850921273031826,0.7303571428571428,597,0.9113300492610837,0.7861189801699717,0.844106463878327,706
