domain,ensemble,f1_pairflip_mean,f1_pairflip_std
Image,RF,0.8490830699506893,0.011182457655338993
Image,Stacking,0.8889529645787224,0.009056236427401106
Image,Voting,0.8384611652823553,0.00807448928992409
Image,XGBoost,0.8131675448585446,0.0035735231468457316
Tabular,RF,0.733349778333936,0.004219518765492946
Tabular,Stacking,0.8093302361417127,0.011702633753662187
Tabular,Voting,0.7507522172389167,0.0026488946839727137
Tabular,XGBoost,0.7495395959073532,0.0030271172746207187
