domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,DAS,asymmetric,0.1,2,10.19375,203.04978942871094,0.853561278516768,0.9087
Tabular,PlainStack,asymmetric,0.1,3,10.08375,201.90582871437073,0.8602763665790855,0.90565
Tabular,DAS,asymmetric,0.1,3,10.08375,201.90592885017395,0.8605510842929011,0.91035
Tabular,PlainStack,asymmetric,0.1,4,10.10875,198.5441873073578,0.8692888563765765,0.90835
Tabular,DAS,asymmetric,0.1,4,10.10875,198.54429721832275,0.8638525611513107,0.9131
Tabular,PlainStack,asymmetric,0.2,0,19.885,214.6726939678192,0.8209033176863849,0.8807
Tabular,DAS,asymmetric,0.2,0,19.885,214.6728024482727,0.8171737786395833,0.89365
Tabular,PlainStack,asymmetric,0.2,1,20.07125,211.8205873966217,0.8285383749466672,0.8823
Tabular,DAS,asymmetric,0.2,1,20.07125,211.8206799030304,0.8321865096467879,0.89705
Tabular,PlainStack,asymmetric,0.2,2,19.92625,216.26340174674988,0.8252373160954901,0.8791
Tabular,DAS,asymmetric,0.2,2,19.92625,216.26350474357605,0.8317965156311589,0.89725
Tabular,PlainStack,asymmetric,0.2,3,20.09,214.33115816116333,0.8187902030489705,0.8789
Tabular,DAS,asymmetric,0.2,3,20.09,214.3312611579895,0.8215777095175568,0.8929
Tabular,PlainStack,asymmetric,0.2,4,20.01875,211.0250039100647,0.8259637077336015,0.88215
Tabular,DAS,asymmetric,0.2,4,20.01875,211.02810835838318,0.8313991273502399,0.8965
Tabular,PlainStack,asymmetric,0.3,0,29.898750000000003,218.29991745948792,0.7786770898842104,0.84435
Tabular,DAS,asymmetric,0.3,0,29.898750000000003,218.30302453041077,0.7774259983820737,0.86905
Tabular,PlainStack,asymmetric,0.3,1,30.056250000000002,217.07211327552795,0.7750912106261426,0.84895
Tabular,DAS,asymmetric,0.3,1,30.056250000000002,217.07220649719238,0.78413098779049,0.8755
Tabular,PlainStack,asymmetric,0.3,2,30.03125,217.2500729560852,0.7898465136015974,0.84615
Tabular,DAS,asymmetric,0.3,2,30.03125,217.250173330307,0.7873952918789214,0.87025
Tabular,PlainStack,asymmetric,0.3,3,29.983749999999997,217.91989731788635,0.7690646268475617,0.8436
Tabular,DAS,asymmetric,0.3,3,29.983749999999997,217.91999864578247,0.7723256386285466,0.87075
Tabular,PlainStack,asymmetric,0.3,4,30.051250000000003,212.51199650764465,0.7837330109628953,0.8444
Tabular,DAS,asymmetric,0.3,4,30.051250000000003,212.5121169090271,0.7897285091801222,0.8715
Tabular,PlainStack,asymmetric,0.4,0,40.082499999999996,214.50282216072083,0.6967048024231345,0.7903
Tabular,DAS,asymmetric,0.4,0,40.082499999999996,214.50291442871094,0.7046223190472459,0.8202
Tabular,PlainStack,asymmetric,0.4,1,39.9325,219.43611025810242,0.6715546172073444,0.7957
Tabular,DAS,asymmetric,0.4,1,39.9325,219.43620467185974,0.6780540856002596,0.82285
Tabular,PlainStack,asymmetric,0.4,2,40.21125,215.56296229362488,0.6995347496615636,0.7945
Tabular,DAS,asymmetric,0.4,2,40.21125,215.56306266784668,0.6968436469627409,0.8166
Tabular,PlainStack,asymmetric,0.4,3,40.08875,215.29614162445068,0.6962791694632218,0.79395
