params,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.98751756417875,0.0028064303776684624,35,1.437181870142619
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.9875124602592811,0.0025341943080480988,36,2.1835781733194985
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9872482079607264,0.002131124657530576,37,2.2201809088389077
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9872373949862073,0.0028632617846033825,38,1.9049864610036213
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9872361911218969,0.0024889239438778666,39,2.13808544476827
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",0.9872231077355256,0.0030290962629002864,40,1.5701114336649578
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.8}",0.9869292995709453,0.002962624859424886,41,3.6325039863586426
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.9869096763014936,0.0025689758163110273,42,1.6914394696553547
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.98678694869264,0.0018607396323371132,43,3.8973542849222818
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.8}",0.9866342059844305,0.002995432376562863,44,3.967544953028361
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.9863269453846243,0.0017294501417249029,45,3.21065346399943
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400, 'subsample': 0.8}",0.986319520421033,0.002739716791957392,46,3.286874294281006
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",0.9862000208804979,0.00279966503435281,47,1.5546913146972656
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400, 'subsample': 0.8}",0.9861979213623983,0.002808844560268194,48,2.251129627227783
"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 1.0}",0.9861966175112714,0.003377156627830078,49,2.05057430267334
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 600, 'subsample': 0.8}",0.986196296788278,0.0028394179472871943,50,3.038240909576416
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 600, 'subsample': 1.0}",0.986144203408806,0.0035278549362384505,51,2.8320795694986978
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 600, 'subsample': 1.0}",0.9861173124892503,0.002985723799648157,52,2.8882714907328286
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9860469830064696,0.0026974947437480275,53,1.9274015426635742
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 400, 'subsample': 1.0}",0.9860178791713236,0.002816241903406275,54,3.1132150491078696
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 600, 'subsample': 1.0}",0.9858526938458514,0.0029664484036897674,55,3.8211278915405273
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 400, 'subsample': 1.0}",0.9858508737630237,0.0032051276263007035,56,2.284025192260742
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 1.0}",0.9857175225409586,0.0029542750530312844,57,1.6664750576019287
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400, 'subsample': 1.0}",0.9856847119895008,0.00297780642330106,58,2.223717212677002
