dataset,condition,fold,actual_noise_pct,gce_q,f1_GCE_XGB,acc_GCE_XGB,seconds
drybean,asymmetric_10,0,10.257195345988976,0.7,0.929465145355773,0.920440636474908,4.3
drybean,asymmetric_10,1,11.143425684983928,0.7,0.9330638384876982,0.925290875688916,4.2
drybean,asymmetric_10,2,9.918873411908772,0.7,0.928261996442744,0.9142682180036742,4.0
drybean,asymmetric_10,3,9.90356650849533,0.7,0.9325556801327683,0.917942437232088,4.1
drybean,asymmetric_10,4,10.117863156283484,0.7,0.9403987476112786,0.9283527250459276,4.1
drybean,asymmetric_20,0,20.9736680955297,0.7,0.8909581368567397,0.8867809057527539,5.4
drybean,asymmetric_20,1,19.54691565896219,0.7,0.9073617968597182,0.9038579301898346,5.1
drybean,asymmetric_20,2,19.684677789683143,0.7,0.8986861193310033,0.8909981628903858,5.3
drybean,asymmetric_20,3,20.02142966477881,0.7,0.8825249952595879,0.8769136558481323,5.2
drybean,asymmetric_20,4,19.11832236338589,0.7,0.9025918554286092,0.8965094917330068,5.1
drybean,asymmetric_30,0,29.562155541947337,0.7,0.8045680440987205,0.8170134638922889,5.5
drybean,asymmetric_30,1,29.54232358793816,0.7,0.8359591338945551,0.838946723821188,5.6
drybean,asymmetric_30,2,29.710699525486,0.7,0.8141570245318264,0.8205756276791182,5.7
drybean,asymmetric_30,3,29.32802694015001,0.7,0.8091766588375069,0.8156766687078996,5.7
drybean,asymmetric_30,4,30.506658502984845,0.7,0.8374541368212142,0.835272504592774,5.9
drybean,asymmetric_40,0,39.57440293937538,0.7,0.6912564237849981,0.7013463892288861,5.7
drybean,asymmetric_40,1,40.28776978417266,0.7,0.6536898974637845,0.676056338028169,5.8
drybean,asymmetric_40,2,39.55303842032757,0.7,0.7066102266758446,0.7158603796693203,5.7
drybean,asymmetric_40,3,40.31838359099954,0.7,0.6687258850324324,0.6876913655848133,5.7
drybean,asymmetric_40,4,40.303076687586106,0.7,0.701127400906713,0.7085119412124924,5.7
drybean,clean_0,0,0.0,0.7,0.943046724997162,0.9302325581395348,3.1
drybean,clean_0,1,0.0,0.7,0.9407256239080516,0.9308022045315372,3.1
drybean,clean_0,2,0.0,0.7,0.9324629561023964,0.917942437232088,3.1
drybean,clean_0,3,0.0,0.7,0.9326040502257086,0.9167176974892836,3.0
drybean,clean_0,4,0.0,0.7,0.9416427798633152,0.9295774647887324,3.1
drybean,pairflip_40,0,26.454378444580527,0.7,0.8072868071993954,0.7894736842105263,4.3
drybean,pairflip_40,1,27.031991428134088,0.7,0.8050720997101479,0.7758726270667483,4.2
drybean,pairflip_40,2,26.251339354048675,0.7,0.8261620143237532,0.7985303123086344,4.4
drybean,pairflip_40,3,27.093219041787847,0.7,0.7955788210626792,0.769748928352725,4.3
drybean,pairflip_40,4,26.618705035971225,0.7,0.8047885440168844,0.7783221065523577,4.2
drybean,symmetric_10,0,10.257195345988976,0.7,0.9432832614021736,0.9296205630354956,3.4
drybean,symmetric_10,1,11.143425684983928,0.7,0.9424829004451178,0.9338640538885488,3.2
drybean,symmetric_10,2,9.918873411908772,0.7,0.932434572641196,0.9191671769748928,3.2
drybean,symmetric_10,3,9.90356650849533,0.7,0.9321011990143956,0.917942437232088,3.3
drybean,symmetric_10,4,10.117863156283484,0.7,0.9409649486200206,0.9283527250459276,3.2
drybean,symmetric_20,0,20.9736680955297,0.7,0.932970248380196,0.91921664626683,3.7
drybean,symmetric_20,1,19.54691565896219,0.7,0.9332467636811276,0.9222290263319044,3.8
drybean,symmetric_20,2,19.684677789683143,0.7,0.9396507708343592,0.9277403551745256,3.6
drybean,symmetric_20,3,20.02142966477881,0.7,0.9306018314980504,0.9167176974892836,3.8
drybean,symmetric_20,4,19.11832236338589,0.7,0.9399816381288691,0.9277403551745256,3.5
drybean,symmetric_30,0,29.562155541947337,0.7,0.9311549361076688,0.9216646266829864,4.9
drybean,symmetric_30,1,29.54232358793816,0.7,0.9223786857932976,0.9161053276178812,4.8
drybean,symmetric_30,2,29.710699525486,0.7,0.9255352615514176,0.9112063686466626,4.8
drybean,symmetric_30,3,29.32802694015001,0.7,0.9091349197598944,0.8983466013472137,4.9
drybean,symmetric_30,4,30.506658502984845,0.7,0.9328927959713283,0.917330067360686,5.2
drybean,symmetric_40,0,39.57440293937538,0.7,0.9075636531217884,0.9008567931456548,6.7
drybean,symmetric_40,1,40.28776978417266,0.7,0.912088811390351,0.9075321494182488,6.9
drybean,symmetric_40,2,39.55303842032757,0.7,0.895376552944359,0.8916105327617881,6.4
drybean,symmetric_40,3,40.31838359099954,0.7,0.8920634851228525,0.8909981628903858,6.8
drybean,symmetric_40,4,40.303076687586106,0.7,0.919274268862858,0.913655848132272,6.7
pendigits,asymmetric_10,0,10.502369668246446,0.7,0.9738420343826067,0.973464746019712,6.8
pendigits,asymmetric_10,1,10.881516587677725,0.7,0.9796465189280036,0.979529946929492,6.9
pendigits,asymmetric_10,2,9.990521327014218,0.7,0.9727886573109245,0.9727065959059894,6.7
pendigits,asymmetric_10,3,10.19905213270142,0.7,0.9726121000713844,0.9727065959059894,6.7
pendigits,asymmetric_10,4,10.29188779378317,0.7,0.9706538950325534,0.9704097116843704,6.8
pendigits,asymmetric_20,0,20.81516587677725,0.7,0.9311179175407498,0.931008339651251,8.6
pendigits,asymmetric_20,1,19.696682464454977,0.7,0.929037006120508,0.9287338893100834,8.6
