model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
XGBoost_Image,symmetric,0.0,0,12960,3240,0.0,27.63798999786377,0.9382716049382716,0.935658654021686,0.9381971566240912,0.924119241192412,0.9472222222222222,0.9355281207133059,360,0.9886363636363636,0.9666666666666667,0.9775280898876404,360,0.9320652173913043,0.9527777777777777,0.9423076923076923,360,0.8662207357859532,0.8633333333333333,0.8647746243739566,300,0.9506578947368421,0.9633333333333334,0.956953642384106,300,0.9156626506024096,0.95,0.9325153374233128,240,0.9054054054054054,0.8933333333333333,0.8993288590604027,300,0.9721448467966574,0.9694444444444444,0.9707927677329624,360,0.9125874125874126,0.87,0.8907849829351536,300,0.9888268156424581,0.9833333333333333,0.9860724233983287,360
XGBoost_Image,symmetric,0.0,1,12960,3240,0.0,31.006447792053223,0.9407407407407408,0.9381876533583078,0.9405994017711604,0.9497206703910615,0.9444444444444444,0.947075208913649,360,0.9616438356164384,0.975,0.9682758620689655,360,0.9066666666666666,0.9444444444444444,0.9251700680272109,360,0.9017543859649123,0.8566666666666667,0.8786324786324786,300,0.9701986754966887,0.9766666666666667,0.973421926910299,300,0.9152542372881356,0.9,0.907563025210084,240,0.935374149659864,0.9166666666666666,0.9259259259259259,300,0.962059620596206,0.9861111111111112,0.9739368998628258,360,0.898360655737705,0.9133333333333333,0.9057851239669421,300,0.9886039886039886,0.9638888888888889,0.9760900140646976,360
XGBoost_Image,symmetric,0.0,2,12960,3240,0.0,31.813724994659424,0.9410493827160494,0.9394035667132836,0.940931882666803,0.9276139410187667,0.9611111111111111,0.9440654843110505,360,0.9512195121951219,0.975,0.9629629629629629,360,0.9122340425531915,0.9527777777777777,0.9320652173913043,360,0.9251700680272109,0.9066666666666666,0.9158249158249159,300,0.9534883720930233,0.9566666666666667,0.9550748752079867,300,0.9333333333333333,0.9333333333333333,0.9333333333333333,240,0.9458483754512635,0.8733333333333333,0.9081455805892548,300,0.961218836565097,0.9638888888888889,0.9625520110957004,360,0.9096989966555183,0.9066666666666666,0.9081803005008348,300,0.9857142857142858,0.9583333333333334,0.971830985915493,360
XGBoost_Image,symmetric,0.0,3,12960,3240,0.0,32.572080850601196,0.9314814814814815,0.9280885584118452,0.9311812956902085,0.9347826086956522,0.9555555555555556,0.945054945054945,360,0.9672131147540983,0.9833333333333333,0.9752066115702479,360,0.9234972677595629,0.9388888888888889,0.931129476584022,360,0.8720538720538721,0.8633333333333333,0.8676716917922948,300,0.9285714285714286,0.9533333333333334,0.9407894736842105,300,0.8924302788844621,0.9333333333333333,0.9124236252545825,240,0.9257950530035336,0.8733333333333333,0.8987993138936535,300,0.953551912568306,0.9694444444444444,0.9614325068870524,360,0.8971631205673759,0.8433333333333334,0.8694158075601375,300,0.9886685552407932,0.9694444444444444,0.9789621318373072,360
XGBoost_Image,symmetric,0.0,4,12960,3240,0.0,32.417400598526,0.9354938271604938,0.9329371477785688,0.9353573444815415,0.9195710455764075,0.9527777777777777,0.9358799454297408,360,0.9672131147540983,0.9833333333333333,0.9752066115702479,360,0.9245283018867925,0.9527777777777777,0.9384404924760602,360,0.9081272084805654,0.8566666666666667,0.8816466552315609,300,0.9348534201954397,0.9566666666666667,0.9456342668863262,300,0.9393939393939394,0.9041666666666667,0.921443736730361,240,0.9143835616438356,0.89,0.902027027027027,300,0.9583333333333334,0.9583333333333334,0.9583333333333334,360,0.8831168831168831,0.9066666666666666,0.8947368421052632,300,0.9914040114613181,0.9611111111111111,0.9760225669957687,360
XGBoost_Image,symmetric,0.1,0,12960,3240,10.339506172839506,48.13435244560242,0.937962962962963,0.935482975333579,0.9378275696456968,0.9279778393351801,0.9305555555555556,0.9292649098474342,360,0.9861111111111112,0.9861111111111112,0.9861111111111112,360,0.9191374663072777,0.9472222222222222,0.93296853625171,360,0.89419795221843,0.8733333333333333,0.8836424957841484,300,0.9387096774193548,0.97,0.9540983606557377,300,0.9330543933054394,0.9291666666666667,0.9311064718162839,240,0.9023569023569024,0.8933333333333333,0.897822445561139,300,0.9665738161559888,0.9638888888888889,0.9652294853963839,360,0.9006849315068494,0.8766666666666667,0.8885135135135135,300,0.9888268156424581,0.9833333333333333,0.9860724233983287,360
XGBoost_Image,symmetric,0.1,1,12960,3240,10.501543209876543,48.366541624069214,0.937037037037037,0.9343657330278144,0.9369500258158477,0.9498607242339833,0.9472222222222222,0.9485396383866481,360,0.9616438356164384,0.975,0.9682758620689655,360,0.8992042440318302,0.9416666666666667,0.9199457259158752,360,0.9037800687285223,0.8766666666666667,0.8900169204737732,300,0.9661016949152542,0.95,0.957983193277311,300,0.922077922077922,0.8875,0.9044585987261147,240,0.9158249158249159,0.9066666666666666,0.9112227805695142,300,0.9517426273458445,0.9861111111111112,0.9686221009549796,360,0.8970099667774086,0.9,0.8985024958402662,300,0.9886039886039886,0.9638888888888889,0.9760900140646976,360
XGBoost_Image,symmetric,0.1,2,12960,3240,10.123456790123457,48.01052379608154,0.941358024691358,0.9392334562742685,0.9412599550917445,0.945054945054945,0.9555555555555556,0.9502762430939227,360,0.9489247311827957,0.9805555555555555,0.9644808743169399,360,0.9021164021164021,0.9472222222222222,0.924119241192412,360,0.9375,0.9,0.9183673469387755,300,0.9473684210526315,0.96,0.9536423841059603,300,0.9208333333333333,0.9208333333333333,0.9208333333333333,240,0.9390681003584229,0.8733333333333333,0.9050086355785838,300,0.9696132596685083,0.975,0.9722991689750693,360,0.9013157894736842,0.9133333333333333,0.9072847682119205,300,0.9914040114613181,0.9611111111111111,0.9760225669957687,360
XGBoost_Image,symmetric,0.1,3,12960,3240,9.62962962962963,47.50368022918701,0.9274691358024691,0.9236979391443819,0.927129160206345,0.9220430107526881,0.9527777777777777,0.9371584699453552,360,0.9567567567567568,0.9833333333333333,0.9698630136986301,360,0.9182561307901907,0.9361111111111111,0.9270976616231087,360,0.8932384341637011,0.8366666666666667,0.8640275387263339,300,0.9318181818181818,0.9566666666666667,0.944078947368421,300,0.8690476190476191,0.9125,0.8902439024390244,240,0.9084507042253521,0.86,0.8835616438356164,300,0.9482288828337875,0.9666666666666667,0.9573590096286108,360,0.9,0.87,0.8847457627118644,300,0.994269340974212,0.9638888888888889,0.9788434414668548,360
XGBoost_Image,symmetric,0.1,4,12960,3240,10.154320987654321,48.002302169799805,0.9388888888888889,0.9370021706039946,0.9388580137175969,0.9245283018867925,0.9527777777777777,0.9384404924760602,360,0.9591280653950953,0.9777777777777777,0.9683631361760661,360,0.931129476584022,0.9388888888888889,0.9349930843706777,360,0.896551724137931,0.8666666666666667,0.8813559322033898,300,0.9606557377049181,0.9766666666666667,0.968595041322314,300,0.9439655172413793,0.9125,0.9279661016949152,240,0.934931506849315,0.91,0.9222972972972973,300,0.9559228650137741,0.9638888888888889,0.9598893499308437,360,0.8778135048231511,0.91,0.8936170212765957,300,0.9942196531791907,0.9555555555555556,0.9745042492917847,360
