model,noise_type,noise_level,fold,train_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
RF_100k,symmetric,0.0,0,80000,0.0,21.654500484466553,0.9013,0.8452537395730595,0.900609981656337,0.8982220355592888,0.9173591176914941,0.8843430369787569,0.7978723404255319,0.7111111111111111,0.7929292929292929,0.9149392423159399
RF_100k,symmetric,0.0,1,80000,0.0,21.633676290512085,0.901,0.8509447668577529,0.900351771501843,0.8980160111381831,0.9168180900464366,0.8956043956043956,0.8449197860962567,0.7224199288256228,0.7917383820998278,0.8870967741935484
RF_100k,symmetric,0.0,2,80000,0.0,22.382859706878662,0.901,0.8484052926420247,0.9003624465200449,0.8952234206471494,0.9163394744790093,0.8953488372093024,0.7727272727272727,0.7379679144385026,0.8167808219178082,0.9044493070751276
RF_100k,symmetric,0.0,3,80000,0.0,21.94557023048401,0.90235,0.8569060621514389,0.9017591103736098,0.8991172761664565,0.917937106918239,0.8878540939076446,0.8571428571428571,0.7425569176882661,0.7878260869565218,0.9059080962800875
RF_100k,symmetric,0.0,4,80000,0.0,21.840755939483643,0.90455,0.8598930829548894,0.9038172189081479,0.9006455234353073,0.9179209311659643,0.9001184366363996,0.8556149732620321,0.7088607594936709,0.8206896551724138,0.9154013015184381
RF_100k,symmetric,0.1,0,80000,10.13875,23.859471082687378,0.8912,0.8399252944945141,0.8907989738966937,0.885800097785849,0.9079661274783226,0.8818713450292398,0.7978723404255319,0.7152777777777778,0.7950617283950617,0.8956276445698167
RF_100k,symmetric,0.1,1,80000,9.936250000000001,24.317896842956543,0.89265,0.8335886601538657,0.8922104888338501,0.8882677660540843,0.9104062326099054,0.8877590926867422,0.7643979057591623,0.7272727272727273,0.7747899159663866,0.8822269807280514
RF_100k,symmetric,0.1,2,80000,10.19375,23.84418487548828,0.8892,0.8313919045634798,0.8887073513886425,0.8829697986577181,0.9055361393911766,0.886415963161934,0.7403314917127072,0.7054794520547946,0.7986520640269588,0.9003584229390681
RF_100k,symmetric,0.1,3,80000,10.08375,24.22067928314209,0.89045,0.8328944758846443,0.8900626593414871,0.8863092725481919,0.9080546729207646,0.8777648428405123,0.7614213197969543,0.7350993377483444,0.7651579846285226,0.8964539007092198
RF_100k,symmetric,0.1,4,80000,10.10875,23.596691131591797,0.8917,0.8385192873699321,0.891183254235184,0.8869540794832187,0.9077892614066045,0.8800312622118015,0.7939698492462312,0.6974358974358974,0.7901023890784983,0.9133522727272727
RF_100k,symmetric,0.2,0,80000,19.885,24.982686042785645,0.8764,0.7916574242204801,0.876547006616523,0.8742792856138377,0.8988328831354161,0.8590038314176245,0.6425339366515838,0.6537842190016103,0.7429492344883158,0.8702185792349727
RF_100k,symmetric,0.2,1,80000,20.07125,24.97484302520752,0.87785,0.7946633536250324,0.8780463779973617,0.8771758126529186,0.8990760120475777,0.8675164156044805,0.6528925619834711,0.6634615384615384,0.7485572959604286,0.8539638386648123
RF_100k,symmetric,0.2,2,80000,19.92625,25.17179226875305,0.87415,0.7878989610314591,0.8743265683828993,0.8703820539782685,0.8945487954267047,0.8742378048780488,0.584070796460177,0.6612903225806451,0.7639553429027113,0.8668076109936576
RF_100k,symmetric,0.2,3,80000,20.09,25.359784364700317,0.8776,0.796208696827567,0.8778031755520206,0.8762025138684081,0.8989153129296735,0.8640552995391705,0.6425339366515838,0.6927899686520376,0.7296416938110749,0.8693221523410203
RF_100k,symmetric,0.2,4,80000,20.01875,25.16015124320984,0.8781,0.7986903785803484,0.8782021915826049,0.8765336885648181,0.8968185288877577,0.8723321691889794,0.646551724137931,0.6559485530546624,0.759349593495935,0.883298392732355
RF_100k,symmetric,0.3,0,80000,29.898750000000003,26.520604848861694,0.8545,0.7333746097684856,0.8568906187293167,0.8568392717999574,0.8854236588010533,0.831758034026465,0.45394736842105265,0.5859154929577465,0.7037593984962406,0.8159790438768828
RF_100k,symmetric,0.3,1,80000,30.056250000000002,26.329060554504395,0.8562,0.7379787785412182,0.8584911224846955,0.8601653355751716,0.8838053740014524,0.8529076396807298,0.46105919003115264,0.5974754558204769,0.7072784810126582,0.8031599736668861
RF_100k,symmetric,0.3,2,80000,30.03125,25.7054283618927,0.8535,0.7296645919277959,0.8556658000671974,0.8565997888067581,0.8813033359193173,0.8516996638027643,0.41721854304635764,0.5830985915492958,0.7145085803432137,0.8032236400268636
RF_100k,symmetric,0.3,3,80000,29.983749999999997,26.54850721359253,0.8548,0.721052402149852,0.8573361608909706,0.8624672287961453,0.8851632810491129,0.8302028549962435,0.41009463722397477,0.5682451253481894,0.6792452830188679,0.811948404616429
RF_100k,symmetric,0.3,4,80000,30.051250000000003,26.126051902770996,0.85465,0.7235481714883135,0.8572542507964427,0.8595111583421892,0.8851260936695832,0.8419062027231468,0.4430769230769231,0.5137362637362637,0.6853146853146853,0.8361658735554045
RF_100k,symmetric,0.4,0,80000,40.082499999999996,26.30375337600708,0.8134,0.644497044545132,0.8223498611329902,0.8302458011965689,0.8602105040461205,0.7834532374100719,0.27061310782241016,0.4457274826789838,0.5957152729785764,0.7255139056831923
RF_100k,symmetric,0.4,1,80000,39.9325,26.944344520568848,0.8175,0.651346331509208,0.8259228129634274,0.835280706754061,0.862129330009018,0.7994143484626647,0.3093220338983051,0.44364508393285373,0.5807770961145194,0.7288557213930348
RF_100k,symmetric,0.4,2,80000,40.21125,26.545796632766724,0.8129,0.646945915567861,0.8219060288019046,0.8320298486044342,0.8550103223757345,0.8,0.24849699398797595,0.46735395189003437,0.5910364145658263,0.7346938775510204
RF_100k,symmetric,0.4,3,80000,40.08875,26.825380325317383,0.81945,0.6525907767970808,0.8288494206401665,0.8433630866685863,0.8621199324324325,0.7852983988355168,0.27715355805243447,0.4735632183908046,0.5935943060498221,0.7330429371499689
RF_100k,symmetric,0.4,4,80000,39.975,26.893922328948975,0.81795,0.6501230939588127,0.8262054646408793,0.8370956146657081,0.8622306517043359,0.7850940665701881,0.31072210065645517,0.41244239631336405,0.6191819464033851,0.7240948813982522
RF_100k,asymmetric,0.0,0,80000,0.0,21.424760103225708,0.9013,0.8452537395730595,0.900609981656337,0.8982220355592888,0.9173591176914941,0.8843430369787569,0.7978723404255319,0.7111111111111111,0.7929292929292929,0.9149392423159399
RF_100k,asymmetric,0.0,1,80000,0.0,21.737492084503174,0.901,0.8509447668577529,0.900351771501843,0.8980160111381831,0.9168180900464366,0.8956043956043956,0.8449197860962567,0.7224199288256228,0.7917383820998278,0.8870967741935484
RF_100k,asymmetric,0.0,2,80000,0.0,21.417264223098755,0.901,0.8484052926420247,0.9003624465200449,0.8952234206471494,0.9163394744790093,0.8953488372093024,0.7727272727272727,0.7379679144385026,0.8167808219178082,0.9044493070751276
RF_100k,asymmetric,0.0,3,80000,0.0,21.317121028900146,0.90235,0.8569060621514389,0.9017591103736098,0.8991172761664565,0.917937106918239,0.8878540939076446,0.8571428571428571,0.7425569176882661,0.7878260869565218,0.9059080962800875
RF_100k,asymmetric,0.0,4,80000,0.0,21.52861499786377,0.90455,0.8598930829548894,0.9038172189081479,0.9006455234353073,0.9179209311659643,0.9001184366363996,0.8556149732620321,0.7088607594936709,0.8206896551724138,0.9154013015184381
