params,mean_test_score,std_test_score,mean_fit_time,rank_test_score
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 0.8}",0.8621392110003606,0.004117668011250728,24.022263606389362,34
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 0.8}",0.8618924903813255,0.0032354021080505295,92.8595114549001,35
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.8610471564700438,0.0029040686987941377,133.07934745152792,36
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 1.0}",0.8608275142373278,0.002674151514483565,103.89288743336995,37
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 400, ""subsample"": 1.0}",0.860659227813667,0.00303766930741079,66.73439447085063,38
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.8604548926510387,0.0030019446554262787,46.809863011042275,39
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.8600784239856294,0.003910443146443375,23.90630571047465,40
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200, ""subsample"": 0.8}",0.85999456437579,0.002608488220899486,41.45458475748698,41
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 0.8}",0.8599619271118119,0.0045868999626136695,117.19844953219096,42
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 0.8}",0.8598420272057977,0.003792939490484034,130.60578894615173,43
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 1.0}",0.8597740697179672,0.0038351955112316104,54.30433336893717,44
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 400, ""subsample"": 1.0}",0.859330073245003,0.0029715529258441745,97.75373276074727,45
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""subsample"": 1.0}",0.858557858006768,0.004058541056184447,27.54192018508911,46
"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 600, ""subsample"": 1.0}",0.8583995854181233,0.003496265569951279,116.73613905906677,47
"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 600, ""subsample"": 1.0}",0.8583765762569898,0.0035851440203855636,166.5823925336202,48
