model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,ram_gb,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
Stacking_Image,symmetric,0.0,0,12960,3240,0.0,764.112802028656,1.2854272,0.9367283950617284,0.9340640027723058,0.9368148304779522,0.9413407821229051,0.9361111111111111,0.9387186629526463,360,0.9858356940509915,0.9666666666666667,0.9761570827489481,360,0.924119241192412,0.9472222222222222,0.9355281207133059,360,0.8488745980707395,0.88,0.8641571194762684,300,0.96,0.96,0.96,300,0.904,0.9416666666666667,0.9224489795918367,240,0.910958904109589,0.8866666666666667,0.8986486486486487,300,0.9748603351955307,0.9694444444444444,0.9721448467966574,360,0.903448275862069,0.8733333333333333,0.888135593220339,300,0.9860724233983287,0.9833333333333333,0.9847009735744089,360
Stacking_Image,symmetric,0.0,1,12960,3240,0.0,763.1497852802277,1.490231296,0.9398148148148148,0.9372081352266545,0.939735711385302,0.949438202247191,0.9388888888888889,0.9441340782122905,360,0.9668508287292817,0.9722222222222222,0.9695290858725761,360,0.9066666666666666,0.9444444444444444,0.9251700680272109,360,0.8943661971830986,0.8466666666666667,0.8698630136986302,300,0.9767441860465116,0.98,0.978369384359401,300,0.9152542372881356,0.9,0.907563025210084,240,0.9324324324324325,0.92,0.9261744966442953,300,0.9699453551912568,0.9861111111111112,0.977961432506887,360,0.8785942492012779,0.9166666666666666,0.8972267536704731,300,0.9886039886039886,0.9638888888888889,0.9760900140646976,360
Stacking_Image,symmetric,0.0,2,12960,3240,0.0,767.8245985507965,1.585389568,0.9425925925925925,0.9407810616235693,0.9425123003802391,0.9381720430107527,0.9694444444444444,0.953551912568306,360,0.9512195121951219,0.975,0.9629629629629629,360,0.9237057220708447,0.9416666666666667,0.9325997248968363,360,0.9251700680272109,0.9066666666666666,0.9158249158249159,300,0.9566666666666667,0.9566666666666667,0.9566666666666667,300,0.9330543933054394,0.9291666666666667,0.9311064718162839,240,0.9399293286219081,0.8866666666666667,0.9125214408233276,300,0.96398891966759,0.9666666666666667,0.9653259361997226,360,0.8980263157894737,0.91,0.9039735099337748,300,0.9857549857549858,0.9611111111111111,0.9732770745428974,360
Stacking_Image,symmetric,0.0,3,12960,3240,0.0,764.2954933643341,1.630019584,0.9314814814814815,0.9279165872985148,0.9312537197643886,0.9295392953929539,0.9527777777777777,0.9410150891632373,360,0.9673024523160763,0.9861111111111112,0.9766162310866575,360,0.9313186813186813,0.9416666666666667,0.93646408839779,360,0.8552631578947368,0.8666666666666667,0.8609271523178808,300,0.9442622950819672,0.96,0.9520661157024793,300,0.8875502008032129,0.9208333333333333,0.9038854805725971,240,0.9131944444444444,0.8766666666666667,0.8945578231292517,300,0.9561643835616438,0.9694444444444444,0.9627586206896551,360,0.9064748201438849,0.84,0.8719723183391004,300,0.9914529914529915,0.9666666666666667,0.9789029535864979,360
Stacking_Image,symmetric,0.0,4,12960,3240,0.0,769.2291948795319,1.736404992,0.9382716049382716,0.9362103693084223,0.9381923800381661,0.9295392953929539,0.9527777777777777,0.9410150891632373,360,0.9566395663956639,0.9805555555555555,0.9684499314128944,360,0.9272237196765498,0.9555555555555556,0.9411764705882353,360,0.9119718309859155,0.8633333333333333,0.886986301369863,300,0.9407894736842105,0.9533333333333334,0.9470198675496688,300,0.9521739130434783,0.9125,0.9319148936170213,240,0.9405594405594405,0.8966666666666666,0.9180887372013652,300,0.9530386740331491,0.9583333333333334,0.9556786703601108,360,0.873015873015873,0.9166666666666666,0.8943089430894309,300,0.9914285714285714,0.9638888888888889,0.9774647887323944,360
Stacking_Image,symmetric,0.1,0,12960,3240,10.339506172839506,1191.4500555992126,1.765380096,0.9435185185185185,0.9409622502982632,0.9434491781577384,0.9410112359550562,0.9305555555555556,0.9357541899441341,360,0.9833333333333333,0.9833333333333333,0.9833333333333333,360,0.9299191374663073,0.9583333333333334,0.9439124487004104,360,0.9041095890410958,0.88,0.8918918918918919,300,0.954248366013072,0.9733333333333334,0.9636963696369637,300,0.9253112033195021,0.9291666666666667,0.9272349272349273,240,0.9072847682119205,0.9133333333333333,0.9102990033222591,300,0.9776536312849162,0.9722222222222222,0.9749303621169917,360,0.8956228956228957,0.8866666666666667,0.8911222780569514,300,0.9915966386554622,0.9833333333333333,0.9874476987447699,360
Stacking_Image,symmetric,0.1,1,12960,3240,10.501543209876543,1204.472375869751,1.776152576,0.9376543209876543,0.9350453213656597,0.9376460466809765,0.9472222222222222,0.9472222222222222,0.9472222222222222,360,0.9668508287292817,0.9722222222222222,0.9695290858725761,360,0.9018567639257294,0.9444444444444444,0.9226594301221167,360,0.8969072164948454,0.87,0.883248730964467,300,0.9697986577181208,0.9633333333333334,0.9665551839464883,300,0.9188034188034188,0.8958333333333334,0.9071729957805907,240,0.9228187919463087,0.9166666666666666,0.919732441471572,300,0.9698630136986301,0.9833333333333333,0.976551724137931,360,0.8786885245901639,0.8933333333333333,0.8859504132231405,300,0.9857142857142858,0.9583333333333334,0.971830985915493,360
Stacking_Image,symmetric,0.1,2,12960,3240,10.123456790123457,1184.5273885726929,1.589776384,0.946604938271605,0.9449143671377451,0.9465993509921135,0.953168044077135,0.9611111111111111,0.9571230982019364,360,0.9642857142857143,0.975,0.9696132596685083,360,0.9122340425531915,0.9527777777777777,0.9320652173913043,360,0.9337979094076655,0.8933333333333333,0.9131175468483816,300,0.9504950495049505,0.96,0.9552238805970149,300,0.9451476793248945,0.9333333333333333,0.939203354297694,240,0.9370629370629371,0.8933333333333333,0.9146757679180887,300,0.9747899159663865,0.9666666666666667,0.9707112970711297,360,0.8952380952380953,0.94,0.9170731707317074,300,0.9914772727272727,0.9694444444444444,0.9803370786516854,360
Stacking_Image,symmetric,0.1,3,12960,3240,9.62962962962963,1165.385241508484,1.457672192,0.9299382716049382,0.9263469642734969,0.9296392919844833,0.9245283018867925,0.9527777777777777,0.9384404924760602,360,0.962059620596206,0.9861111111111112,0.9739368998628258,360,0.931129476584022,0.9388888888888889,0.9349930843706777,360,0.8648648648648649,0.8533333333333334,0.8590604026845637,300,0.9311475409836065,0.9466666666666667,0.9388429752066115,300,0.888,0.925,0.9061224489795918,240,0.9119718309859155,0.8633333333333333,0.886986301369863,300,0.9486486486486486,0.975,0.9616438356164384,360,0.9113475177304965,0.8566666666666667,0.8831615120274914,300,0.9942857142857143,0.9666666666666667,0.9802816901408451,360
Stacking_Image,symmetric,0.1,4,12960,3240,10.154320987654321,1181.5755906105042,1.528168448,0.9358024691358025,0.9335133290403326,0.9357937463494228,0.9293478260869565,0.95,0.9395604395604396,360,0.9618528610354223,0.9805555555555555,0.9711141678129298,360,0.935933147632312,0.9333333333333333,0.9346314325452016,360,0.8762886597938144,0.85,0.8629441624365483,300,0.9451612903225807,0.9766666666666667,0.9606557377049181,300,0.9559471365638766,0.9041666666666667,0.9293361884368309,240,0.9136212624584718,0.9166666666666666,0.9151414309484193,300,0.9638888888888889,0.9638888888888889,0.9638888888888889,360,0.864951768488746,0.8966666666666666,0.8805237315875614,300,0.9971098265895953,0.9583333333333334,0.9773371104815864,360
