model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6
XGBoost,symmetric,0.0,0,278884,69722,0.0,32.78687119483948,0.9620636241071685,0.9359856805469464,0.96198717419287,0.9673363835289437,0.956453325990323,0.9618640715246459,25421,0.9619105726488277,0.9738792799152841,0.9678579258934444,33996,0.9505633478960681,0.9634117921230483,0.9569444444444445,4291,0.9134615384615384,0.8636363636363636,0.8878504672897196,330,0.9136150234741784,0.8542581211589113,0.882940108892922,1139,0.9392156862745098,0.9193857965451055,0.9291949563530553,2084,0.9771024146544546,0.9536773669240146,0.9652477894303928,2461
XGBoost,symmetric,0.0,1,278885,69721,0.0,34.10165858268738,0.9628519384403551,0.9371227919982108,0.962782834613129,0.968818620992534,0.9545651233232367,0.9616390584132519,25421,0.9622745621932448,0.9746440757736204,0.9684198220052902,33996,0.9585071859063514,0.9638694638694638,0.9611808461180846,4290,0.8977635782747604,0.8541033434650456,0.8753894080996885,329,0.9194756554307116,0.8621597892888498,0.889895786135025,1139,0.9355149181905679,0.9328214971209213,0.9341662662181643,2084,0.9679902755267423,0.970349309504468,0.9691683569979715,2462
XGBoost,symmetric,0.0,2,278885,69721,0.0,34.962830781936646,0.9614033074683381,0.937935776536299,0.9613182513475282,0.9631243316037549,0.9565320011014515,0.959816846925081,25421,0.9620065214859672,0.9719672902694435,0.9669612548285146,33996,0.9633776533706555,0.9627039627039627,0.963040690218025,4290,0.8942598187311178,0.896969696969697,0.8956127080181543,330,0.9298245614035088,0.8375768217734855,0.8812933025404157,1139,0.9401750972762646,0.9275431861804223,0.9338164251207729,2084,0.9719703215169002,0.9581470946769606,0.9650092081031307,2461
XGBoost,symmetric,0.0,3,278885,69721,0.0,34.66831922531128,0.9606861634227851,0.9363734112630089,0.9605752414448124,0.967169901749341,0.9525982455450218,0.9598287718741949,25421,0.9589390166213008,0.9741146017178491,0.966467240624544,33996,0.9584500466853408,0.9571095571095571,0.9577793328668066,4290,0.917981072555205,0.8818181818181818,0.8995363214837713,330,0.9327398615232443,0.8279192273924495,0.8772093023255814,1139,0.9289855072463769,0.9227447216890595,0.9258545979778526,2084,0.9667612484799352,0.9691182446160097,0.9679383116883117,2461
XGBoost,symmetric,0.0,4,278885,69721,0.0,34.54237675666809,0.959954676496321,0.9337574083899371,0.9598636897850128,0.9637663885578069,0.9542879622344611,0.9590037556829413,25420,0.9597896510648188,0.9717319684668785,0.9657238909595849,33996,0.9560083352627923,0.9622465625728268,0.9591173054587688,4291,0.9038461538461539,0.8545454545454545,0.8785046728971962,330,0.9232981783317353,0.845478489903424,0.8826764436296975,1139,0.9408023483365949,0.9227447216890595,0.9316860465116279,2084,0.9689312344656172,0.950426655830963,0.9595897435897436,2461
XGBoost,symmetric,0.1,0,278884,69722,10.010255159851408,42.56174039840698,0.9480508304408939,0.9064661754081599,0.9478225980632361,0.957375210319686,0.9400889028755753,0.948653315602485,25421,0.947230387918612,0.9667902106130133,0.9569103560718549,33996,0.9281478102189781,0.9482638079701701,0.9380979827089337,4291,0.8621794871794872,0.8151515151515152,0.838006230529595,330,0.8887744593202883,0.7576821773485514,0.8180094786729858,1139,0.9106172839506173,0.8848368522072937,0.8975419810172791,2084,0.9662447257383966,0.9305160503860219,0.9480438832539847,2461
XGBoost,symmetric,0.1,1,278885,69721,10.013804973376123,43.82643723487854,0.9485090575292954,0.9146884646579709,0.9483278291470677,0.9570315637298209,0.9374926242083317,0.9471613377580828,25421,0.9468710383773193,0.9667019649370514,0.9566837447601304,33996,0.9445609131143722,0.9452214452214452,0.9448910637306304,4290,0.8957654723127035,0.8358662613981763,0.8647798742138365,329,0.8964467005076142,0.7752414398595259,0.8314500941619586,1139,0.9002375296912114,0.9093090211132437,0.9047505371210313,2084,0.9611730689797604,0.9451665312753859,0.953102600860127,2462
XGBoost,symmetric,0.1,2,278885,69721,10.05181347150259,43.83648872375488,0.9463145967499031,0.9115397011159138,0.9460913406416525,0.9511659479316403,0.9370599110971244,0.9440602397701378,25421,0.9448544249063131,0.964142840334157,0.9544011880150249,33996,0.9487179487179487,0.9487179487179487,0.9487179487179487,4290,0.8629283489096573,0.8393939393939394,0.8509984639016898,330,0.9085173501577287,0.7585601404741001,0.8267942583732057,1139,0.9158924205378973,0.8987523992322457,0.9072414628239283,2084,0.9647058823529412,0.9329540837058107,0.9485643462094608,2461
XGBoost,symmetric,0.1,3,278885,69721,10.024562095487386,43.66120743751526,0.9485664290529395,0.9125685440661867,0.9483211204962353,0.9577962494478577,0.9382793753196177,0.9479373658691678,25421,0.9458037434231333,0.9676432521473114,0.9565988629919886,33996,0.9397506925207756,0.948951048951049,0.9443284620737648,4290,0.8683385579937304,0.8393939393939394,0.8536209553158706,330,0.927038626609442,0.7585601404741001,0.834379526798648,1139,0.9133663366336634,0.8853166986564299,0.8991228070175439,2084,0.9572719802793755,0.94676960585128,0.9519918283963228,2461
XGBoost,symmetric,0.1,4,278885,69721,9.96503935313839,43.932482957839966,0.9455257382997949,0.9079264740972691,0.9453387431577644,0.9528969570954456,0.9374901652242329,0.9451307779254001,25420,0.9450761948741631,0.9632015531238969,0.9540527941262165,33996,0.9386289949050486,0.9445350734094616,0.9415727726797537,4291,0.8717948717948718,0.8242424242424242,0.8473520249221184,330,0.8871128871128872,0.7796312554872695,0.8299065420560747,1139,0.9035907525823905,0.8814779270633397,0.8923973767306291,2084,0.9570833333333333,0.9333604225924421,0.9450730302406912,2461
