dataset,condition,RF,XGB,ET,Voting,PlainStack,DAS,CL_XGB,GCE_XGB
pendigits,symmetric_30,0.9777,0.9609,0.9731,0.9757,0.9711,0.9696,0.9846,0.962
pendigits,symmetric_40,0.9643,0.9276,0.9496,0.9532,0.9477,0.9454,0.9812,0.911
satimage,asymmetric_10,0.8869,0.8861,0.891,0.8898,0.8844,0.8847,0.8832,0.8842
satimage,asymmetric_20,0.8765,0.8478,0.8829,0.8744,0.86,0.8608,0.8766,0.8442
satimage,asymmetric_30,0.832,0.769,0.8393,0.8088,0.8205,0.8229,0.8512,0.7686
satimage,asymmetric_40,0.7167,0.6379,0.7251,0.6805,0.7465,0.7356,0.757,0.6439
satimage,clean_0,0.8904,0.898,0.8932,0.8984,0.8998,0.8981,0.8902,0.9021
satimage,pairflip_40,0.7685,0.7378,0.7727,0.7557,0.7842,0.7742,0.7905,0.7328
satimage,symmetric_10,0.8863,0.8898,0.8904,0.8918,0.8922,0.8925,0.8815,0.8947
satimage,symmetric_20,0.8894,0.8825,0.8882,0.8917,0.8863,0.8821,0.8755,0.8825
satimage,symmetric_30,0.8817,0.8569,0.8817,0.8771,0.8769,0.8754,0.8724,0.8514
satimage,symmetric_40,0.8664,0.8176,0.8673,0.8592,0.8618,0.8532,0.8679,0.798
shuttle,asymmetric_10,0.7293,0.902,0.7008,0.776,0.8373,0.9017,0.904,0.9042
shuttle,asymmetric_20,0.6661,0.8262,0.6416,0.7075,0.7755,0.7888,0.8055,0.8454
shuttle,asymmetric_30,0.5987,0.7668,0.5826,0.6401,0.8035,0.7795,0.7448,0.7933
shuttle,asymmetric_40,0.5131,0.6513,0.5103,0.5416,0.8226,0.8049,0.644,0.7111
shuttle,clean_0,0.9064,0.9407,0.8775,0.9102,0.9454,0.945,0.9436,0.8894
shuttle,pairflip_40,0.4948,0.6569,0.4865,0.5246,0.6349,0.6627,0.6414,0.7173
shuttle,symmetric_10,0.7244,0.9343,0.6808,0.8075,0.9187,0.9176,0.9187,0.8959
shuttle,symmetric_20,0.6394,0.8861,0.5968,0.7398,0.7526,0.8407,0.8857,0.8886
shuttle,symmetric_30,0.5634,0.8608,0.5281,0.6762,0.7431,0.7639,0.8737,0.8673
shuttle,symmetric_40,0.4768,0.7891,0.4543,0.5897,0.7319,0.7294,0.8025,0.7865
