model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,ram_gb,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
Stacking_Image,asymmetric,0.0,0,12960,3240,0.0,743.8970668315887,1.23875328,0.9367283950617284,0.9340640027723058,0.9368148304779522,0.9413407821229051,0.9361111111111111,0.9387186629526463,360,0.9858356940509915,0.9666666666666667,0.9761570827489481,360,0.924119241192412,0.9472222222222222,0.9355281207133059,360,0.8488745980707395,0.88,0.8641571194762684,300,0.96,0.96,0.96,300,0.904,0.9416666666666667,0.9224489795918367,240,0.910958904109589,0.8866666666666667,0.8986486486486487,300,0.9748603351955307,0.9694444444444444,0.9721448467966574,360,0.903448275862069,0.8733333333333333,0.888135593220339,300,0.9860724233983287,0.9833333333333333,0.9847009735744089,360
Stacking_Image,asymmetric,0.0,1,12960,3240,0.0,751.6956775188446,1.47238912,0.9398148148148148,0.9372081352266545,0.939735711385302,0.949438202247191,0.9388888888888889,0.9441340782122905,360,0.9668508287292817,0.9722222222222222,0.9695290858725761,360,0.9066666666666666,0.9444444444444444,0.9251700680272109,360,0.8943661971830986,0.8466666666666667,0.8698630136986302,300,0.9767441860465116,0.98,0.978369384359401,300,0.9152542372881356,0.9,0.907563025210084,240,0.9324324324324325,0.92,0.9261744966442953,300,0.9699453551912568,0.9861111111111112,0.977961432506887,360,0.8785942492012779,0.9166666666666666,0.8972267536704731,300,0.9886039886039886,0.9638888888888889,0.9760900140646976,360
Stacking_Image,asymmetric,0.0,2,12960,3240,0.0,751.5904808044434,1.488183296,0.9425925925925925,0.9407810616235693,0.9425123003802391,0.9381720430107527,0.9694444444444444,0.953551912568306,360,0.9512195121951219,0.975,0.9629629629629629,360,0.9237057220708447,0.9416666666666667,0.9325997248968363,360,0.9251700680272109,0.9066666666666666,0.9158249158249159,300,0.9566666666666667,0.9566666666666667,0.9566666666666667,300,0.9330543933054394,0.9291666666666667,0.9311064718162839,240,0.9399293286219081,0.8866666666666667,0.9125214408233276,300,0.96398891966759,0.9666666666666667,0.9653259361997226,360,0.8980263157894737,0.91,0.9039735099337748,300,0.9857549857549858,0.9611111111111111,0.9732770745428974,360
Stacking_Image,asymmetric,0.0,3,12960,3240,0.0,751.5939667224884,1.592164352,0.9314814814814815,0.9279165872985148,0.9312537197643886,0.9295392953929539,0.9527777777777777,0.9410150891632373,360,0.9673024523160763,0.9861111111111112,0.9766162310866575,360,0.9313186813186813,0.9416666666666667,0.93646408839779,360,0.8552631578947368,0.8666666666666667,0.8609271523178808,300,0.9442622950819672,0.96,0.9520661157024793,300,0.8875502008032129,0.9208333333333333,0.9038854805725971,240,0.9131944444444444,0.8766666666666667,0.8945578231292517,300,0.9561643835616438,0.9694444444444444,0.9627586206896551,360,0.9064748201438849,0.84,0.8719723183391004,300,0.9914529914529915,0.9666666666666667,0.9789029535864979,360
Stacking_Image,asymmetric,0.0,4,12960,3240,0.0,759.0650339126587,1.587924992,0.9382716049382716,0.9362103693084223,0.9381923800381661,0.9295392953929539,0.9527777777777777,0.9410150891632373,360,0.9566395663956639,0.9805555555555555,0.9684499314128944,360,0.9272237196765498,0.9555555555555556,0.9411764705882353,360,0.9119718309859155,0.8633333333333333,0.886986301369863,300,0.9407894736842105,0.9533333333333334,0.9470198675496688,300,0.9521739130434783,0.9125,0.9319148936170213,240,0.9405594405594405,0.8966666666666666,0.9180887372013652,300,0.9530386740331491,0.9583333333333334,0.9556786703601108,360,0.873015873015873,0.9166666666666666,0.8943089430894309,300,0.9914285714285714,0.9638888888888889,0.9774647887323944,360
Stacking_Image,asymmetric,0.1,0,12960,3240,10.339506172839506,1113.0615277290344,1.735991296,0.9358024691358025,0.932836557125073,0.9356847380298312,0.935933147632312,0.9333333333333333,0.9346314325452016,360,0.9803921568627451,0.9722222222222222,0.9762900976290098,360,0.9245283018867925,0.9527777777777777,0.9384404924760602,360,0.8642384105960265,0.87,0.867109634551495,300,0.9478827361563518,0.97,0.9588138385502472,300,0.9316239316239316,0.9083333333333333,0.919831223628692,240,0.9026845637583892,0.8966666666666666,0.8996655518394648,300,0.9695290858725761,0.9722222222222222,0.970873786407767,360,0.8931034482758621,0.8633333333333333,0.8779661016949153,300,0.9833795013850416,0.9861111111111112,0.984743411927878,360
Stacking_Image,asymmetric,0.1,1,12960,3240,10.501543209876543,1112.2101318836212,1.608802304,0.9259259259259259,0.922698127909609,0.9256614581601611,0.9473684210526315,0.95,0.9486823855755895,360,0.9690140845070423,0.9555555555555556,0.9622377622377623,360,0.896,0.9333333333333333,0.9142857142857143,360,0.8941605839416058,0.8166666666666667,0.8536585365853658,300,0.9262820512820513,0.9633333333333334,0.9444444444444444,300,0.9170305676855895,0.875,0.8955223880597015,240,0.9013157894736842,0.9133333333333333,0.9072847682119205,300,0.9429347826086957,0.9638888888888889,0.9532967032967034,360,0.8697068403908795,0.89,0.8797364085667215,300,0.9746478873239437,0.9611111111111111,0.9678321678321679,360
Stacking_Image,asymmetric,0.1,2,12960,3240,10.123456790123457,1098.9247870445251,1.675046912,0.9351851851851852,0.9329761890333268,0.9351147960634812,0.9402173913043478,0.9611111111111111,0.9505494505494505,360,0.9605633802816902,0.9472222222222222,0.9538461538461539,360,0.8947368421052632,0.9444444444444444,0.918918918918919,360,0.9198606271777003,0.88,0.899488926746167,300,0.9238095238095239,0.97,0.9463414634146341,300,0.9385964912280702,0.8916666666666667,0.9145299145299145,240,0.9263157894736842,0.88,0.9025641025641026,300,0.9637883008356546,0.9611111111111111,0.9624478442280946,360,0.8903225806451613,0.92,0.9049180327868852,300,0.9858356940509915,0.9666666666666667,0.9761570827489481,360
Stacking_Image,asymmetric,0.1,3,12960,3240,9.62962962962963,1083.580661535263,1.68640512,0.9246913580246914,0.9207357661577336,0.9243662031668813,0.9211956521739131,0.9416666666666667,0.9313186813186813,360,0.9592391304347826,0.9805555555555555,0.9697802197802198,360,0.9303621169916435,0.9277777777777778,0.9290681502086231,360,0.8586206896551725,0.83,0.8440677966101695,300,0.9213836477987422,0.9766666666666667,0.948220064724919,300,0.8806584362139918,0.8916666666666667,0.8861283643892339,240,0.9059233449477352,0.8666666666666667,0.8858603066439523,300,0.9432432432432433,0.9694444444444444,0.9561643835616438,360,0.8931034482758621,0.8633333333333333,0.8779661016949153,300,0.9971181556195965,0.9611111111111111,0.9787835926449788,360
Stacking_Image,asymmetric,0.1,4,12960,3240,10.154320987654321,1093.6773793697357,1.68015872,0.9308641975308642,0.9278743707014613,0.9306022052407772,0.9222520107238605,0.9555555555555556,0.9386084583901774,360,0.96398891966759,0.9666666666666667,0.9653259361997226,360,0.9239130434782609,0.9444444444444444,0.9340659340659341,360,0.8888888888888888,0.8266666666666667,0.8566493955094991,300,0.9356913183279743,0.97,0.9525368248772504,300,0.9417040358744395,0.875,0.9071274298056156,240,0.9180887372013652,0.8966666666666666,0.9072512647554806,300,0.9424657534246575,0.9555555555555556,0.9489655172413793,360,0.8694267515923567,0.91,0.8892508143322475,300,0.9886685552407932,0.9694444444444444,0.9789621318373072,360
