dataset,condition,noise_type,fold,actual_noise_pct,f1_RF,acc_RF,f1_XGB,acc_XGB,f1_ET,acc_ET,f1_Voting,acc_Voting,f1_PlainStack,acc_PlainStack,f1_DAS,acc_DAS,mean_pairwise_kappa,f1_best_single,stack_gap_vs_best,das_delta
drybean,asymmetric_10,asymmetric,0,10.257195345988977,0.9283742782196238,0.9167686658506732,0.9264243040098002,0.9179926560587516,0.923401003904374,0.9112607099143207,0.9297434160105039,0.9186046511627907,0.9222600828997649,0.9118727050183598,0.9236453352006256,0.9149326805385557,0.952155347485789,0.9283742782196238,-0.006114195319858906,0.0013852523008607287
drybean,asymmetric_10,asymmetric,1,11.143425684983928,0.9274967194248955,0.9197795468462951,0.932993085360774,0.9252908756889161,0.9235694055339826,0.9154929577464789,0.9323565027713211,0.9246785058175138,0.9298131900200766,0.9197795468462951,0.931305168518312,0.9216166564605022,0.9614712006335141,0.932993085360774,-0.003179895340697403,0.0014919784982354578
drybean,asymmetric_10,asymmetric,2,9.918873411908772,0.9326184638778426,0.9203919167176975,0.9332386381633189,0.9179424372320881,0.9238062604169109,0.9130434782608695,0.9320322034056473,0.9173300673606859,0.9340155829160259,0.9197795468462951,0.9347581955215799,0.9197795468462951,0.9604736725321835,0.9332386381633189,0.000776944752707065,0.0007426126055539717
drybean,asymmetric_10,asymmetric,3,9.90356650849533,0.9283070264956031,0.9154929577464789,0.9314232520545297,0.9167176974892836,0.9233295814042112,0.9112063686466626,0.9334564466283538,0.9185548071034905,0.9303810772756022,0.9161053276178812,0.9286675342675049,0.9167176974892836,0.9636475080473511,0.9314232520545297,-0.0010421747789275404,-0.0017135430080972291
drybean,asymmetric_10,asymmetric,4,10.117863156283484,0.933339344358861,0.9240661359461114,0.9320409987343704,0.9228413962033069,0.9269934654887232,0.9167176974892836,0.9356800687495379,0.9265156154317208,0.9293452231829169,0.9203919167176975,0.9328139590588636,0.9240661359461114,0.9636934772880158,0.933339344358861,-0.00399412117594411,0.003468735875946649
drybean,asymmetric_20,asymmetric,0,20.9736680955297,0.9150510984418021,0.9057527539779682,0.8874635868792268,0.8867809057527539,0.9004273355892608,0.8953488372093024,0.9127806832492725,0.9063647490820074,0.9005325973776203,0.8929008567931457,0.8956068384553918,0.8953488372093024,0.9160112607255316,0.9150510984418021,-0.014518501064181843,-0.0049257589222284626
drybean,asymmetric_20,asymmetric,1,19.54691565896219,0.9172181643632794,0.9112063686466626,0.8994080820952053,0.8983466013472137,0.8915746337207971,0.8909981628903858,0.9170105189459855,0.9124311083894673,0.9010740368222637,0.8952847519902021,0.9093514419664226,0.904470300061237,0.93168492867611,0.9172181643632794,-0.016144127541015685,0.008277405144158867
drybean,asymmetric_20,asymmetric,2,19.684677789683146,0.9167622817461754,0.9056950398040416,0.9099381919722217,0.900796080832823,0.9021706902808153,0.8909981628903858,0.9271671231731672,0.9154929577464789,0.9107196492399182,0.8977342314758114,0.9129340784148511,0.90263319044703,0.9385695808926573,0.9167622817461754,-0.0060426325062571395,0.0022144291749328637
drybean,asymmetric_20,asymmetric,3,20.021429664778815,0.8961163906527065,0.893447642375995,0.8774115337261066,0.8775260257195346,0.8928872985993754,0.8928352725045928,0.9050043837273222,0.9001837109614207,0.8908471100078215,0.8854868340477648,0.8939911387092057,0.8909981628903858,0.9245960555404004,0.8961163906527065,-0.005269280644885077,0.003144028701384194
drybean,asymmetric_20,asymmetric,4,19.118322363385886,0.9225407829743479,0.9124311083894673,0.9001926116574498,0.8977342314758114,0.8997952224662862,0.893447642375995,0.920581830936741,0.9142682180036742,0.9027693570270446,0.893447642375995,0.9067263466927222,0.8983466013472137,0.9290572172495146,0.9225407829743479,-0.0197714259473033,0.0039569896656775905
