noise_type,n_blocks,RF,XGB,ET,Voting,PlainStack,DAS,CL_XGB,GCE_XGB
clean,8,7.12,3.62,6.25,4.12,2.12,3.5,5.38,3.88
symmetric,32,6.09,5.12,5.5,2.94,3.28,3.69,3.94,5.44
asymmetric,32,4.81,5.59,4.56,3.84,4.94,4.25,2.19,5.81
pairflip,8,4.25,6.12,4.88,4.88,4.0,4.5,1.38,6.0
structured_combined,40,4.7,5.7,4.62,4.05,4.75,4.3,2.02,5.85
all_common_conditions,80,5.5,5.26,5.14,3.61,3.9,3.98,3.12,5.49
