model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6
Voting,symmetric,0.0,0,278884,69722,0.0,175.9262912273407,0.9562835260032702,0.9298958527604542,0.9562121562545154,0.9660260533933741,0.9451634475433697,0.9554808820312966,25421,0.9549059334298119,0.9704671137780916,0.9626236395996849,33996,0.9389607442704788,0.9643439757632254,0.9514830995631179,4291,0.9079365079365079,0.8666666666666667,0.8868217054263566,330,0.8926919518963923,0.8472344161545216,0.8693693693693694,1139,0.9234866828087167,0.9150671785028791,0.9192576524463726,2084,0.969983552631579,0.958553433563592,0.9642346208869814,2461
Voting,symmetric,0.0,1,278885,69721,0.0,179.60080790519714,0.9583626167151934,0.9337140642133949,0.9582914783810607,0.9665688913890786,0.94626489909917,0.9563091357239405,25421,0.9571213350330282,0.9717613836921991,0.9643858010275572,33996,0.9512531616463555,0.9643356643356643,0.957749739553189,4290,0.89375,0.8693009118541033,0.8813559322033898,329,0.9101123595505618,0.8533801580333626,0.8808337109198007,1139,0.9239543726235742,0.9328214971209213,0.9283667621776505,2084,0.9640694388373032,0.9699431356620634,0.9669973678882365,2462
Voting,symmetric,0.0,2,278885,69721,0.0,185.28074717521667,0.956584099482222,0.9355178092799751,0.9565058432850263,0.9620754490538864,0.9460288737657842,0.953984688008251,25421,0.955511731098286,0.9691434286386633,0.9622793054602276,33996,0.9563711911357341,0.9657342657342657,0.9610299234516354,4290,0.8911764705882353,0.9181818181818182,0.9044776119402985,330,0.9115969581749049,0.8419666374012291,0.8753993610223643,1139,0.9304347826086956,0.9241842610364683,0.9272989889263361,2084,0.9665169456921192,0.9618041446566437,0.9641547861507128,2461
Voting,symmetric,0.0,3,278885,69721,0.0,172.8193280696869,0.957057414552287,0.9359467118825019,0.9569706074142365,0.9651046058707786,0.9454388104323197,0.9551704951911613,25421,0.9554931371981236,0.9706141899046947,0.9629943090617248,33996,0.9523919574763116,0.9606060606060606,0.956481374028084,4290,0.9023668639053254,0.9242424242424242,0.9131736526946108,330,0.9180327868852459,0.835820895522388,0.875,1139,0.9211657907310081,0.9251439539347409,0.9231505865453675,2084,0.9602249899558055,0.971149939049167,0.9656565656565657,2461
Voting,symmetric,0.0,4,278885,69721,0.0,179.8767409324646,0.9549776968201833,0.92990507350469,0.9549000435851064,0.9617541049259111,0.9447285601888277,0.9531653105774955,25420,0.9547458807147831,0.9681138957524414,0.961383419991821,33996,0.945716903344022,0.9622465625728268,0.9539101305302068,4291,0.8895705521472392,0.8787878787878788,0.8841463414634146,330,0.9098671726755219,0.8419666374012291,0.8746010031919744,1139,0.9256951102588686,0.9265834932821497,0.9261390887290167,2084,0.9587249693502248,0.9532710280373832,0.9559902200488998,2461
Voting,symmetric,0.1,0,278884,69722,10.010255159851408,251.60618662834167,0.9443217348899917,0.9038893703975102,0.9442400544493397,0.9578593693073716,0.9308052397624011,0.9441385364296545,25421,0.944839343504392,0.9618484527591481,0.9532680310185995,33996,0.9172999552972732,0.9564204148217199,0.9364517969195665,4291,0.8214285714285714,0.8363636363636363,0.8288288288288288,330,0.8453703703703703,0.8015803336259877,0.8228931951329428,1139,0.8927017883035283,0.8862763915547025,0.889477486154587,2084,0.9539151712887439,0.950426655830963,0.952167718298392,2461
Voting,symmetric,0.1,1,278885,69721,10.013804973376123,220.72435235977173,0.9467879118199681,0.9123093288145732,0.9467278077496099,0.9576952604145622,0.9323787419849731,0.9448674506677297,25421,0.9477082549150186,0.9627897399694082,0.9551894707659084,33996,0.9346435100548446,0.9533799533799534,0.9439187629817678,4290,0.8470948012232415,0.8419452887537994,0.8445121951219512,329,0.8634686346863468,0.8217734855136084,0.8421052631578947,1139,0.8845618915159944,0.9155470249520153,0.899787785899552,2084,0.9502207948615013,0.9614134849715679,0.9557843731072078,2462
Voting,symmetric,0.1,2,278885,69721,10.05181347150259,210.93549418449402,0.9437615639477346,0.9109579566973741,0.9436800969331121,0.9518998550957978,0.9302938515400653,0.9409728439271859,25421,0.9449549262297458,0.9589363454524061,0.951894298853931,33996,0.9407051282051282,0.9578088578088578,0.9491799491799492,4290,0.8233618233618234,0.8757575757575757,0.8487518355359766,330,0.8719165085388995,0.8068481123792801,0.8381212950296397,1139,0.8947368421052632,0.9136276391554703,0.9040835707502374,2084,0.9406540169559952,0.94676960585128,0.9437019036046983,2461
Voting,symmetric,0.1,3,278885,69721,10.024562095487386,203.6975576877594,0.9461137964171483,0.9131420606064007,0.9460561196315971,0.9585863492834589,0.9314739782069942,0.9448357041677473,25421,0.9465416992102751,0.9624955877162019,0.9544519798731131,33996,0.9287981859410431,0.9547785547785548,0.9416091954022988,4290,0.8159340659340659,0.9,0.8559077809798271,330,0.8827977315689981,0.820017559262511,0.8502503413746018,1139,0.885956644674835,0.9021113243761996,0.89396100808369,2084,0.9443108974358975,0.9577407557903291,0.9509784143635264,2461
Voting,symmetric,0.1,4,278885,69721,9.96503935313839,206.44448971748352,0.9431161343067368,0.9062293473183283,0.9430514385163623,0.9539635746880426,0.9293076317859953,0.9414742044118526,25420,0.9445264773154984,0.9596128956347806,0.9520099219376961,33996,0.9286363636363636,0.9522255884409229,0.9402830514325164,4291,0.8176470588235294,0.8424242424242424,0.8298507462686567,330,0.8706654170571696,0.8156277436347673,0.8422484134179511,1139,0.8821879382889201,0.9054702495201535,0.893677480464125,2084,0.9417711281843915,0.9463632669646486,0.9440616132955006,2461
