file,rows,cols,columns
/kaggle/input/datasets/rabianaz22/3b-tabular-rf-3rd-paper/rf_results/rf_results_full.csv,50,39,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/3b-tabular-rf-3rd-paper/rf_results/rf_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/3b-tabular-rf-3rd-paper/rf_results/rf_test_results.csv,1,33,model|condition|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4|support_class_4
/kaggle/input/datasets/rabianaz22/3c-tabular-xgb-3rd-paper/xgb_results/checkpoints/xgb_results_intermediate.csv,50,39,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/3c-tabular-xgb-3rd-paper/xgb_results/xgb_nsi.csv,2,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/3c-tabular-xgb-3rd-paper/xgb_results/xgb_per_class_metrics.csv,10,9,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6
/kaggle/input/datasets/rabianaz22/3c-tabular-xgb-3rd-paper/xgb_results/xgb_results_full.csv,50,39,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/3c-tabular-xgb-3rd-paper/xgb_results/xgb_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/3c-tabular-xgb-3rd-paper/xgb_results/xgb_test_results.csv,1,33,model|condition|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4|support_class_4
/kaggle/input/datasets/rabianaz22/3d-tabular-voting-3rd-paper/voting_results/checkpoints/voting_results_intermediate.csv,50,39,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/3d-tabular-voting-3rd-paper/voting_results/voting_nsi.csv,2,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/3d-tabular-voting-3rd-paper/voting_results/voting_per_class_metrics.csv,10,9,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6
/kaggle/input/datasets/rabianaz22/3d-tabular-voting-3rd-paper/voting_results/voting_results_full.csv,50,39,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3
/kaggle/input/datasets/rabianaz22/3d-tabular-voting-3rd-paper/voting_results/voting_summary.csv,10,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/3d-tabular-voting-3rd-paper/voting_results/voting_test_results.csv,1,33,model|condition|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3|recall_class_3|f1_class_3|support_class_3|precision_class_4|recall_class_4|f1_class_4|support_class_4
/kaggle/input/datasets/rabianaz22/3e-tabular-stacking-3rd-paper/stacking_results/checkpoints/stacking_results_intermediate.csv,50,40,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|ram_gb|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3
/kaggle/input/datasets/rabianaz22/3e-tabular-stacking-3rd-paper/stacking_results/stacking_nsi.csv,2,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
