model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
RandomForest_Image,symmetric,0.0,0,12960,3240,0.0,61.43971061706543,0.907716049382716,0.9037211471257974,0.9072334652447108,0.8940217391304348,0.9138888888888889,0.9038461538461539,360,0.9560439560439561,0.9666666666666667,0.9613259668508287,360,0.8805194805194805,0.9416666666666667,0.9100671140939597,360,0.8321678321678322,0.7933333333333333,0.8122866894197952,300,0.9161290322580645,0.9466666666666667,0.9311475409836065,300,0.8835341365461847,0.9166666666666666,0.8997955010224948,240,0.9028776978417267,0.8366666666666667,0.8685121107266436,300,0.9449035812672176,0.9527777777777777,0.9488243430152143,360,0.8397212543554007,0.8033333333333333,0.8211243611584327,300,0.9942857142857143,0.9666666666666667,0.9802816901408451,360
RandomForest_Image,symmetric,0.0,1,12960,3240,0.0,60.93729639053345,0.9148148148148149,0.9107144278188934,0.914518147143258,0.9350282485875706,0.9194444444444444,0.927170868347339,360,0.953551912568306,0.9694444444444444,0.9614325068870524,360,0.8842105263157894,0.9333333333333333,0.9081081081081082,360,0.8681318681318682,0.79,0.8272251308900523,300,0.9148264984227129,0.9666666666666667,0.940032414910859,300,0.8831168831168831,0.85,0.8662420382165605,240,0.9149659863945578,0.8966666666666666,0.9057239057239057,300,0.9426229508196722,0.9583333333333334,0.9504132231404959,360,0.8343949044585988,0.8733333333333333,0.8534201954397395,300,0.9884057971014493,0.9472222222222222,0.9673758865248226,360
RandomForest_Image,symmetric,0.0,2,12960,3240,0.0,60.73948359489441,0.9132716049382716,0.9098141499402914,0.9129086849119848,0.921832884097035,0.95,0.9357045143638851,360,0.9228723404255319,0.9638888888888889,0.9429347826086957,360,0.8678756476683938,0.9305555555555556,0.8981233243967829,360,0.8917910447761194,0.7966666666666666,0.8415492957746479,300,0.9230769230769231,0.96,0.9411764705882353,300,0.8780487804878049,0.9,0.8888888888888888,240,0.9296296296296296,0.8366666666666667,0.8807017543859649,300,0.9556786703601108,0.9583333333333334,0.957004160887656,360,0.8381877022653722,0.8633333333333333,0.8505747126436781,300,0.9882697947214076,0.9361111111111111,0.9614835948644793,360
RandomForest_Image,symmetric,0.0,3,12960,3240,0.0,60.39460301399231,0.8975308641975308,0.8920407741588887,0.8967244839144928,0.8859416445623343,0.9277777777777778,0.9063772048846676,360,0.9565217391304348,0.9777777777777777,0.967032967032967,360,0.8641025641025641,0.9361111111111111,0.8986666666666666,360,0.8555555555555555,0.77,0.8105263157894737,300,0.8987341772151899,0.9466666666666667,0.922077922077922,300,0.8387096774193549,0.8666666666666667,0.8524590163934426,240,0.8884758364312267,0.7966666666666666,0.8400702987697716,300,0.9222520107238605,0.9555555555555556,0.9386084583901774,360,0.8373702422145328,0.8066666666666666,0.8217317487266553,300,0.9911764705882353,0.9361111111111111,0.9628571428571429,360
RandomForest_Image,symmetric,0.0,4,12960,3240,0.0,60.47433257102966,0.8993827160493827,0.8954820501867667,0.8987887689422068,0.8772845953002611,0.9333333333333333,0.9044414535666218,360,0.9228723404255319,0.9638888888888889,0.9429347826086957,360,0.8938992042440318,0.9361111111111111,0.9145183175033921,360,0.87109375,0.7433333333333333,0.802158273381295,300,0.89937106918239,0.9533333333333334,0.9255663430420712,300,0.9126637554585153,0.8708333333333333,0.8912579957356077,240,0.9045936395759717,0.8533333333333334,0.8782161234991424,300,0.9180327868852459,0.9333333333333333,0.9256198347107438,360,0.7891373801916933,0.8233333333333334,0.8058727569331158,300,0.9941002949852508,0.9361111111111111,0.9642346208869814,360
RandomForest_Image,symmetric,0.1,0,12960,3240,10.339506172839506,69.11687397956848,0.9064814814814814,0.9022961018477187,0.9061716207062313,0.9019073569482289,0.9194444444444444,0.9105914718019257,360,0.9610027855153204,0.9583333333333334,0.9596662030598053,360,0.8891820580474934,0.9361111111111111,0.912043301759134,360,0.8404255319148937,0.79,0.8144329896907216,300,0.9223300970873787,0.95,0.9359605911330049,300,0.8780487804878049,0.9,0.8888888888888888,240,0.8916083916083916,0.85,0.8703071672354948,300,0.9397260273972603,0.9527777777777777,0.9462068965517242,360,0.8087248322147651,0.8033333333333333,0.8060200668896321,300,0.994269340974212,0.9638888888888889,0.9788434414668548,360
RandomForest_Image,symmetric,0.1,1,12960,3240,10.501543209876543,69.70234560966492,0.9141975308641975,0.9102094853954812,0.9139617796542429,0.927170868347339,0.9194444444444444,0.9232914923291492,360,0.9560439560439561,0.9666666666666667,0.9613259668508287,360,0.8885941644562334,0.9305555555555556,0.9090909090909091,360,0.8439716312056738,0.7933333333333333,0.8178694158075601,300,0.9265175718849841,0.9666666666666667,0.9461663947797716,300,0.8641975308641975,0.875,0.8695652173913043,240,0.9175257731958762,0.89,0.9035532994923858,300,0.9400544959128065,0.9583333333333334,0.9491059147180193,360,0.8504983388704319,0.8533333333333334,0.8519134775374376,300,0.991304347826087,0.95,0.9702127659574468,360
RandomForest_Image,symmetric,0.1,2,12960,3240,10.123456790123457,69.42754411697388,0.9101851851851852,0.9062203684620812,0.9097092491161486,0.9166666666666666,0.9472222222222222,0.9316939890710383,360,0.9301075268817204,0.9611111111111111,0.9453551912568307,360,0.8798955613577023,0.9361111111111111,0.9071332436069987,360,0.8935361216730038,0.7833333333333333,0.8348134991119005,300,0.9140127388535032,0.9566666666666667,0.9348534201954397,300,0.8744939271255061,0.9,0.8870636550308009,240,0.9250936329588015,0.8233333333333334,0.8712522045855379,300,0.9452054794520548,0.9583333333333334,0.9517241379310345,360,0.8152866242038217,0.8533333333333334,0.8338762214983714,300,0.9883381924198251,0.9416666666666667,0.9644381223328592,360
RandomForest_Image,symmetric,0.1,3,12960,3240,9.62962962962963,69.40451550483704,0.8975308641975308,0.8917735991370339,0.8966142081301908,0.8891820580474934,0.9361111111111111,0.912043301759134,360,0.946236559139785,0.9777777777777777,0.9617486338797814,360,0.8762886597938144,0.9444444444444444,0.9090909090909091,360,0.8351254480286738,0.7766666666666666,0.8048359240069085,300,0.890282131661442,0.9466666666666667,0.9176090468497576,300,0.8421052631578947,0.8666666666666667,0.8542094455852156,240,0.9011406844106464,0.79,0.8419182948490231,300,0.9245283018867925,0.9527777777777777,0.9384404924760602,360,0.8409893992932862,0.7933333333333333,0.8164665523156089,300,0.9911504424778761,0.9333333333333333,0.9613733905579399,360
RandomForest_Image,symmetric,0.1,4,12960,3240,10.154320987654321,69.9359040260315,0.9006172839506172,0.8966231531533216,0.900070604263282,0.8868421052631579,0.9361111111111111,0.9108108108108108,360,0.9353099730458221,0.9638888888888889,0.9493844049247606,360,0.8962765957446809,0.9361111111111111,0.9157608695652174,360,0.8515625,0.7266666666666667,0.7841726618705036,300,0.9056603773584906,0.96,0.9320388349514563,300,0.9126637554585153,0.8708333333333333,0.8912579957356077,240,0.9059233449477352,0.8666666666666667,0.8858603066439523,300,0.9228650137741047,0.9305555555555556,0.9266943291839558,360,0.7801857585139319,0.84,0.8089887640449438,300,0.9940652818991098,0.9305555555555556,0.9612625538020086,360
