domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,AllFour,symmetric,0.3,1,30.056250000000002,263.08579206466675,0.7890829667967049,0.88505
Tabular,Confidence,symmetric,0.3,1,30.056250000000002,263.0859053134918,0.7864928238832414,0.88465
Tabular,Disagreement,symmetric,0.3,1,30.056250000000002,263.0860240459442,0.7902370864710688,0.88405
Tabular,PlainStack,symmetric,0.3,2,30.03125,256.2944931983948,0.7912541726927685,0.88235
Tabular,AllFour,symmetric,0.3,2,30.03125,256.2946128845215,0.7852406393571446,0.8806
Tabular,Confidence,symmetric,0.3,2,30.03125,256.29472494125366,0.7860831492360304,0.8807
Tabular,Disagreement,symmetric,0.3,2,30.03125,256.29485511779785,0.7891996014924066,0.88045
Tabular,PlainStack,symmetric,0.3,3,29.983749999999997,263.96516394615173,0.7700538841657608,0.88075
Tabular,AllFour,symmetric,0.3,3,29.983749999999997,263.96526527404785,0.7683453563629187,0.87945
Tabular,Confidence,symmetric,0.3,3,29.983749999999997,263.96536231040955,0.7696484475956129,0.8797
Tabular,Disagreement,symmetric,0.3,3,29.983749999999997,263.96546745300293,0.7701951119769517,0.87965
Tabular,PlainStack,symmetric,0.3,4,30.051250000000003,248.236181974411,0.7875577067863715,0.8812
Tabular,AllFour,symmetric,0.3,4,30.051250000000003,248.2362916469574,0.783010617135439,0.8813
Tabular,Confidence,symmetric,0.3,4,30.051250000000003,248.23639464378357,0.7813433598588545,0.8814
Tabular,Disagreement,symmetric,0.3,4,30.051250000000003,248.23651671409607,0.7865129282100191,0.8807
Tabular,PlainStack,symmetric,0.4,0,40.082499999999996,257.8711712360382,0.6884938006613408,0.8604
Tabular,AllFour,symmetric,0.4,0,40.082499999999996,257.8712799549103,0.709143521339433,0.8605
Tabular,Confidence,symmetric,0.4,0,40.082499999999996,257.87138199806213,0.7104476252612012,0.86015
Tabular,Disagreement,symmetric,0.4,0,40.082499999999996,257.87148571014404,0.6977224004749873,0.8606
Tabular,PlainStack,symmetric,0.4,1,39.9325,262.6322252750397,0.6988718600153903,0.8623
Tabular,AllFour,symmetric,0.4,1,39.9325,262.6323482990265,0.7073071055968407,0.8611
Tabular,Confidence,symmetric,0.4,1,39.9325,262.63246059417725,0.710307652765006,0.8612
Tabular,Disagreement,symmetric,0.4,1,39.9325,262.6325640678406,0.7053650054065341,0.86005
Tabular,PlainStack,symmetric,0.4,2,40.21125,259.42237544059753,0.6821576612129159,0.8579
Tabular,AllFour,symmetric,0.4,2,40.21125,259.42247700691223,0.7254951030489585,0.8582
Tabular,Confidence,symmetric,0.4,2,40.21125,259.4225740432739,0.7245759518301326,0.8585
Tabular,Disagreement,symmetric,0.4,2,40.21125,259.42267060279846,0.7105060885462952,0.8575
Tabular,PlainStack,symmetric,0.4,3,40.08875,258.48012018203735,0.6974080903096489,0.8625
Tabular,AllFour,symmetric,0.4,3,40.08875,258.4802348613739,0.7185142207729512,0.8629
Tabular,Confidence,symmetric,0.4,3,40.08875,258.4803378582001,0.7212227381899525,0.86275
Tabular,Disagreement,symmetric,0.4,3,40.08875,258.4804401397705,0.7135133640870548,0.8619
Tabular,PlainStack,symmetric,0.4,4,39.975,259.0884053707123,0.6909726686269009,0.8588
Tabular,AllFour,symmetric,0.4,4,39.975,259.08857321739197,0.7244781185440099,0.8598
Tabular,Confidence,symmetric,0.4,4,39.975,259.0886957645416,0.7255648602044781,0.85995
Tabular,Disagreement,symmetric,0.4,4,39.975,259.08880162239075,0.7111881061227374,0.8588
Tabular,PlainStack,asymmetric,0.0,0,0.0,196.90055656433105,0.8898172224019693,0.92495
Tabular,AllFour,asymmetric,0.0,0,0.0,196.90062952041626,0.8883423380250026,0.92505
Tabular,Confidence,asymmetric,0.0,0,0.0,196.90069127082825,0.8893129355027879,0.9252
Tabular,Disagreement,asymmetric,0.0,0,0.0,196.90075159072876,0.8862733694444543,0.9244
Tabular,PlainStack,asymmetric,0.0,1,0.0,193.06808137893677,0.8824047016245359,0.9281
Tabular,AllFour,asymmetric,0.0,1,0.0,193.06818079948425,0.8876349461285092,0.9291
Tabular,Confidence,asymmetric,0.0,1,0.0,193.06826829910278,0.886507799015306,0.9289
Tabular,Disagreement,asymmetric,0.0,1,0.0,193.068354845047,0.8855436499729369,0.9283
Tabular,PlainStack,asymmetric,0.0,2,0.0,189.83360958099365,0.8825993231930359,0.9265
Tabular,AllFour,asymmetric,0.0,2,0.0,189.83371305465698,0.8833365489304794,0.92675
Tabular,Confidence,asymmetric,0.0,2,0.0,189.8338062763214,0.8831892768895571,0.92685
Tabular,Disagreement,asymmetric,0.0,2,0.0,189.8339114189148,0.8815639166046209,0.92575
Tabular,PlainStack,asymmetric,0.0,3,0.0,186.51303696632385,0.8906004723667712,0.9269
Tabular,AllFour,asymmetric,0.0,3,0.0,186.51314568519592,0.8937584253900257,0.9282
Tabular,Confidence,asymmetric,0.0,3,0.0,186.51325035095215,0.8949154892177064,0.9284
Tabular,Disagreement,asymmetric,0.0,3,0.0,186.51335382461548,0.8905777578381909,0.92715
Tabular,PlainStack,asymmetric,0.0,4,0.0,186.26358819007874,0.901281964306798,0.9312
Tabular,AllFour,asymmetric,0.0,4,0.0,186.26369619369507,0.8984147838726199,0.9308
Tabular,Confidence,asymmetric,0.0,4,0.0,186.26379084587097,0.8981799545497834,0.931
Tabular,Disagreement,asymmetric,0.0,4,0.0,186.26388430595398,0.8989953595649289,0.931
Tabular,PlainStack,asymmetric,0.1,0,10.13875,233.1525604724884,0.8608828209937949,0.90485
Tabular,AllFour,asymmetric,0.1,0,10.13875,233.15266251564026,0.8607672279790883,0.9082
Tabular,Confidence,asymmetric,0.1,0,10.13875,233.15275955200195,0.8623213397402016,0.9085
Tabular,Disagreement,asymmetric,0.1,0,10.13875,233.1528570652008,0.8606305361306739,0.9066
Tabular,PlainStack,asymmetric,0.1,1,9.936250000000001,219.97647738456726,0.850914735022868,0.9082
Tabular,AllFour,asymmetric,0.1,1,9.936250000000001,219.97658038139343,0.8585943631774994,0.913
Tabular,Confidence,asymmetric,0.1,1,9.936250000000001,219.9767050743103,0.8586995623199881,0.91315
Tabular,Disagreement,asymmetric,0.1,1,9.936250000000001,219.9768033027649,0.8525688775002122,0.91055
Tabular,PlainStack,asymmetric,0.1,2,10.19375,222.689058303833,0.8532539854418998,0.90325
Tabular,AllFour,asymmetric,0.1,2,10.19375,222.68917083740234,0.8540663215169372,0.90885
Tabular,Confidence,asymmetric,0.1,2,10.19375,222.68927454948425,0.8524928738823938,0.9087
Tabular,Disagreement,asymmetric,0.1,2,10.19375,222.68937706947327,0.8536666602809971,0.90645
Tabular,PlainStack,asymmetric,0.1,3,10.08375,223.23977088928223,0.8602417688014784,0.9057
Tabular,AllFour,asymmetric,0.1,3,10.08375,223.23994660377502,0.8607417332731517,0.9104
Tabular,Confidence,asymmetric,0.1,3,10.08375,223.24005937576294,0.8634610792477788,0.9113
