domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,RandomForest,RF,asymmetric,0.0,1.0,278885.0,0.0,0.9087498126469188,0.9447081940878644,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.0,2.0,278885.0,0.0,0.913653228551925,0.942685847879405,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.0,3.0,278885.0,0.0,0.9136835119001409,0.9423846473802728,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.0,4.0,278885.0,0.0,0.9092212331804904,0.9419830467147632,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.1,0.0,278884.0,10.010255159851408,0.8941573832082215,0.933335245690026,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.1,1.0,278885.0,10.013804973376123,0.895459581454065,0.9356148075902526,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.1,2.0,278885.0,10.05181347150259,0.898202189614776,0.934008404928214,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.1,3.0,278885.0,10.024562095487386,0.8993667469032893,0.935471378781142,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.1,4.0,278885.0,9.96503935313839,0.8964856540387334,0.9336068042627044,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.2,0.0,278884.0,20.01082887508785,0.8337085556628789,0.9047933220504288,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.2,1.0,278885.0,20.00501999031859,0.8386419186741002,0.9085354484301716,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.2,2.0,278885.0,19.98601574125536,0.8392720944396854,0.9058820154616256,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.2,3.0,278885.0,19.96199150187353,0.8403559822764368,0.9067999598399334,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.2,4.0,278885.0,20.058805600874912,0.8293565694865102,0.9040030980622769,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.3,0.0,278884.0,30.056224093171352,0.7202626955077146,0.8298528441524913,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.3,1.0,278885.0,30.04105634939133,0.7325139147022822,0.8338090388835502,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
Tabular,RandomForest,RF,asymmetric,0.3,2.0,278885.0,29.96503935313839,0.730070690748126,0.8345405258100141,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,RandomForest/RF
