dataset,condition,fold,actual_noise_pct,n_train,n_flagged,flag_rate_pct,flag_precision,flag_recall,f1_CL_XGB,acc_CL_XGB,seconds
drybean,symmetric_30,4,30.506658502984845,6533,2077,31.79,0.8897,0.9272,0.9323981339315522,0.9216166564605022,3.4
drybean,symmetric_40,0,39.57440293937538,6532,2590,39.65,0.9174,0.9191,0.9218927727134044,0.912484700122399,3.8
drybean,symmetric_40,1,40.28776978417266,6533,2644,40.47,0.9251,0.9293,0.9324748805984068,0.9265156154317208,3.5
drybean,symmetric_40,2,39.55303842032757,6533,2541,38.89,0.9311,0.9156,0.9212016394411208,0.9118187385180648,3.6
drybean,symmetric_40,3,40.31838359099954,6533,2599,39.78,0.9292,0.9169,0.9222466377254106,0.9118187385180648,3.8
drybean,symmetric_40,4,40.303076687586106,6533,2694,41.24,0.9135,0.9347,0.9342083167596384,0.9228413962033069,3.4
pendigits,asymmetric_10,0,10.502369668246446,5275,530,10.05,0.966,0.9242,0.98807781705123,0.9878695981804396,4.4
pendigits,asymmetric_10,1,10.881516587677725,5275,586,11.11,0.9505,0.9704,0.9895256357654396,0.9893858984078848,4.0
pendigits,asymmetric_10,2,9.990521327014218,5275,507,9.61,0.9763,0.9393,0.9842304157788362,0.9840788476118272,4.3
pendigits,asymmetric_10,3,10.19905213270142,5275,550,10.43,0.9564,0.9777,0.9878294359234672,0.9878695981804396,4.2
pendigits,asymmetric_10,4,10.29188779378317,5276,547,10.37,0.9561,0.9632,0.9843371195378688,0.9840667678300457,4.3
pendigits,asymmetric_20,0,20.81516587677725,5275,1100,20.85,0.9391,0.9408,0.9849779297400424,0.9848369977255496,4.5
pendigits,asymmetric_20,1,19.696682464454977,5275,1031,19.55,0.9476,0.9403,0.9828310088745666,0.982562547384382,4.6
pendigits,asymmetric_20,2,19.77251184834123,5275,1041,19.73,0.9539,0.9521,0.9803010999851496,0.9802880970432144,4.7
pendigits,asymmetric_20,3,20.132701421800945,5275,1046,19.83,0.9503,0.936,0.984141304798257,0.9840788476118272,4.7
pendigits,asymmetric_20,4,19.446550416982564,5276,1036,19.64,0.9431,0.9522,0.9789538425180908,0.9787556904400608,4.6
pendigits,asymmetric_30,0,29.6872037914692,5275,1708,32.38,0.7957,0.8678,0.9644878998751948,0.9643669446550416,5.1
pendigits,asymmetric_30,1,29.497630331753555,5275,1658,31.43,0.8034,0.856,0.9597467213980064,0.959059893858984,5.4
pendigits,asymmetric_30,2,29.87677725118484,5275,1714,32.49,0.7841,0.8528,0.9546718431264124,0.954510993176649,5.0
pendigits,asymmetric_30,3,29.459715639810423,5275,1636,31.01,0.8105,0.8533,0.9478311886221326,0.9476876421531464,5.1
pendigits,asymmetric_30,4,30.81880212282032,5276,1810,34.31,0.7702,0.8573,0.9537098138083075,0.9537177541729894,5.2
pendigits,asymmetric_40,0,39.29857819905213,5275,2367,44.87,0.6303,0.7197,0.8444089055378814,0.844579226686884,5.7
pendigits,asymmetric_40,1,40.37914691943128,5275,2391,45.33,0.6156,0.6911,0.7975076701887026,0.7975739196360879,5.9
pendigits,asymmetric_40,2,39.65876777251185,5275,2352,44.59,0.6416,0.7213,0.8579838833588184,0.8574677786201668,5.6
pendigits,asymmetric_40,3,40.60663507109005,5275,2408,45.65,0.6242,0.7017,0.8083126932192821,0.8089461713419257,5.7
pendigits,asymmetric_40,4,39.992418498862776,5276,2278,43.18,0.6339,0.6844,0.81728177806948,0.8171471927162367,5.7
pendigits,clean_0,0,0.0,5275,1,0.02,0.0,,0.99024913938367,0.9901440485216072,4.5
pendigits,clean_0,1,0.0,5275,1,0.02,0.0,,0.9932884234154372,0.9931766489764974,4.3
pendigits,clean_0,2,0.0,5275,0,0.0,,,0.987933719615458,0.9878695981804396,4.4
pendigits,clean_0,3,0.0,5275,1,0.02,0.0,,0.990100692187735,0.9901440485216072,4.3
pendigits,clean_0,4,0.0,5276,1,0.02,0.0,,0.9873642317162906,0.9871016691957512,4.4
pendigits,pairflip_40,0,24.0,5275,1458,27.64,0.6008,0.6919,0.8882376820668402,0.88855193328279,4.9
pendigits,pairflip_40,1,23.81042654028436,5275,1468,27.83,0.6226,0.7277,0.8898804573210679,0.8908263836239575,5.1
pendigits,pairflip_40,2,23.658767772511847,5275,1454,27.56,0.6286,0.7324,0.8969056220041173,0.8968915845337376,5.0
pendigits,pairflip_40,3,24.113744075829384,5275,1405,26.64,0.6178,0.6824,0.871196570180319,0.8711144806671721,5.1
pendigits,pairflip_40,4,23.71114480667172,5276,1415,26.82,0.6269,0.709,0.900874342832978,0.9006069802731411,5.2
pendigits,symmetric_10,0,10.502369668246446,5275,526,9.97,0.9696,0.9206,0.9865760747192588,0.9863532979529946,4.8
pendigits,symmetric_10,1,10.881516587677725,5275,564,10.69,0.9663,0.9495,0.9909665735596372,0.9909021986353298,4.5
pendigits,symmetric_10,2,9.990521327014218,5275,499,9.46,0.976,0.9241,0.9781264572950372,0.978013646702047,4.8
pendigits,symmetric_10,3,10.19905213270142,5275,524,9.93,0.9752,0.9498,0.990117842962551,0.9901440485216072,4.5
pendigits,symmetric_10,4,10.29188779378317,5276,521,9.87,0.9731,0.9337,0.9871986403025864,0.9871016691957512,5.3
pendigits,symmetric_20,0,20.81516587677725,5275,1066,20.21,0.9803,0.9517,0.9818946325078024,0.9818043972706596,4.6
pendigits,symmetric_20,1,19.696682464454977,5275,1016,19.26,0.9793,0.9577,0.9864487697027144,0.9863532979529946,4.6
pendigits,symmetric_20,2,19.77251184834123,5275,1014,19.22,0.9852,0.9578,0.9826079435405098,0.982562547384382,4.5
pendigits,symmetric_20,3,20.132701421800945,5275,1008,19.11,0.9851,0.935,0.985484644611278,0.9855951478392722,5.0
pendigits,symmetric_20,4,19.446550416982564,5276,1001,18.97,0.984,0.96,0.9811206659304276,0.98103186646434,4.5
pendigits,symmetric_30,0,29.6872037914692,5275,1539,29.18,0.9799,0.963,0.9873059500864866,0.9871114480667172,4.3
pendigits,symmetric_30,1,29.497630331753555,5275,1517,28.76,0.9815,0.9569,0.9887759177891848,0.9886277482941622,4.3
pendigits,symmetric_30,2,29.87677725118484,5275,1554,29.46,0.9794,0.9657,0.9819109666823274,0.9818043972706596,4.5
pendigits,symmetric_30,3,29.459715639810423,5275,1503,28.49,0.98,0.9479,0.986328625146722,0.9863532979529946,4.6
pendigits,symmetric_30,4,30.81880212282032,5276,1593,30.19,0.9824,0.9625,0.9787740550347148,0.9787556904400608,4.3
