dataset,condition,fold,method,f1,noise_type,noise_level
isolet,asymmetric_10,1,RF,0.928677488461036,asymmetric,10
isolet,asymmetric_10,2,RF,0.9365065136335436,asymmetric,10
isolet,asymmetric_10,3,RF,0.9471872715963604,asymmetric,10
isolet,asymmetric_10,4,RF,0.9303879649525176,asymmetric,10
isolet,asymmetric_20,0,RF,0.9243758426170058,asymmetric,20
isolet,asymmetric_20,1,RF,0.9284643651259288,asymmetric,20
isolet,asymmetric_20,2,RF,0.9244128124422518,asymmetric,20
isolet,asymmetric_20,3,RF,0.9378209806824238,asymmetric,20
isolet,asymmetric_20,4,RF,0.925851086828782,asymmetric,20
isolet,asymmetric_30,0,RF,0.8770141330260888,asymmetric,30
isolet,asymmetric_30,1,RF,0.8984758964262638,asymmetric,30
isolet,asymmetric_30,2,RF,0.8874790074601671,asymmetric,30
isolet,asymmetric_30,3,RF,0.8999633912380214,asymmetric,30
isolet,asymmetric_30,4,RF,0.8909242736248822,asymmetric,30
isolet,asymmetric_40,0,RF,0.7619959918775913,asymmetric,40
isolet,asymmetric_40,1,RF,0.7520924878631093,asymmetric,40
isolet,asymmetric_40,2,RF,0.7602488073310929,asymmetric,40
isolet,asymmetric_40,3,RF,0.7306633399286357,asymmetric,40
isolet,asymmetric_40,4,RF,0.74778646643897,asymmetric,40
isolet,clean_0,0,RF,0.9243451361661652,clean,0
isolet,clean_0,1,RF,0.9307125252890452,clean,0
isolet,clean_0,2,RF,0.9397026280601328,clean,0
isolet,clean_0,3,RF,0.940974702673834,clean,0
isolet,clean_0,4,RF,0.9410917661231186,clean,0
isolet,pairflip_40,0,RF,0.8455218262838139,pairflip,40
isolet,pairflip_40,1,RF,0.8836800197916156,pairflip,40
isolet,pairflip_40,2,RF,0.8848930867258633,pairflip,40
isolet,pairflip_40,3,RF,0.8629347754927331,pairflip,40
isolet,pairflip_40,4,RF,0.8873339046812918,pairflip,40
isolet,symmetric_10,0,RF,0.9339130862517372,symmetric,10
isolet,symmetric_10,1,RF,0.9266682181107576,symmetric,10
isolet,symmetric_10,2,RF,0.9354377944664763,symmetric,10
isolet,symmetric_10,3,RF,0.9442439362142626,symmetric,10
isolet,symmetric_10,4,RF,0.9381065923941916,symmetric,10
isolet,symmetric_20,0,RF,0.927594818038788,symmetric,20
isolet,symmetric_20,1,RF,0.9305966057662308,symmetric,20
isolet,symmetric_20,2,RF,0.9350564910175442,symmetric,20
isolet,symmetric_20,3,RF,0.940023486298036,symmetric,20
isolet,symmetric_20,4,RF,0.9271305915473144,symmetric,20
isolet,symmetric_30,0,RF,0.9245291330254244,symmetric,30
isolet,symmetric_30,1,RF,0.9190208326465272,symmetric,30
isolet,symmetric_30,2,RF,0.9334591893611214,symmetric,30
isolet,symmetric_30,3,RF,0.93237666817347,symmetric,30
isolet,symmetric_30,4,RF,0.9336945550778186,symmetric,30
isolet,symmetric_40,0,RF,0.9189190719320766,symmetric,40
isolet,symmetric_40,1,RF,0.919108653266237,symmetric,40
isolet,symmetric_40,2,RF,0.9368430374869928,symmetric,40
isolet,symmetric_40,3,RF,0.932522924339204,symmetric,40
isolet,symmetric_40,4,RF,0.9186626421606512,symmetric,40
pendigits,asymmetric_10,0,RF,0.9903171902159076,asymmetric,10
pendigits,asymmetric_10,1,RF,0.9874526683372714,asymmetric,10
pendigits,asymmetric_10,2,RF,0.981946715580803,asymmetric,10
pendigits,asymmetric_10,3,RF,0.9879358701583486,asymmetric,10
pendigits,asymmetric_10,4,RF,0.985781176536044,asymmetric,10
pendigits,asymmetric_20,0,RF,0.9765549775411888,asymmetric,20
pendigits,asymmetric_20,1,RF,0.9728582640789316,asymmetric,20
