model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
Voting_Image,symmetric,0.0,0,12960,3240,0.0,75.70314884185791,0.937037037037037,0.9342662348388652,0.936873849151715,0.9266304347826086,0.9472222222222222,0.9368131868131868,360,0.9803921568627451,0.9722222222222222,0.9762900976290098,360,0.9220430107526881,0.9527777777777777,0.9371584699453552,360,0.8682432432432432,0.8566666666666667,0.8624161073825504,300,0.9415584415584416,0.9666666666666667,0.9539473684210527,300,0.9224489795918367,0.9416666666666667,0.931958762886598,240,0.9078498293515358,0.8866666666666667,0.897133220910624,300,0.9775910364145658,0.9694444444444444,0.9735006973500697,360,0.9090909090909091,0.8666666666666667,0.8873720136518771,300,0.9888268156424581,0.9833333333333333,0.9860724233983287,360
Voting_Image,symmetric,0.0,1,12960,3240,0.0,79.54459547996521,0.9395061728395062,0.9370250121796447,0.9393764282932996,0.9497206703910615,0.9444444444444444,0.947075208913649,360,0.9538043478260869,0.975,0.9642857142857143,360,0.9061662198391421,0.9388888888888889,0.922237380627558,360,0.9081272084805654,0.8566666666666667,0.8816466552315609,300,0.973421926910299,0.9766666666666667,0.9750415973377704,300,0.9113924050632911,0.9,0.9056603773584906,240,0.9324324324324325,0.92,0.9261744966442953,300,0.962059620596206,0.9861111111111112,0.9739368998628258,360,0.8921568627450981,0.91,0.900990099009901,300,0.9885386819484241,0.9583333333333334,0.9732016925246827,360
Voting_Image,symmetric,0.0,2,12960,3240,0.0,79.54463815689087,0.9407407407407408,0.9390544941037808,0.940633025896617,0.9351351351351351,0.9611111111111111,0.947945205479452,360,0.948509485094851,0.9722222222222222,0.9602194787379973,360,0.9081364829396326,0.9611111111111111,0.9338731443994602,360,0.9283276450511946,0.9066666666666666,0.9173693086003373,300,0.9442622950819672,0.96,0.9520661157024793,300,0.9333333333333333,0.9333333333333333,0.9333333333333333,240,0.9490909090909091,0.87,0.9078260869565218,300,0.9636871508379888,0.9583333333333334,0.9610027855153204,360,0.9036544850498339,0.9066666666666666,0.9051580698835274,300,0.9885057471264368,0.9555555555555556,0.9717514124293786,360
Voting_Image,symmetric,0.0,3,12960,3240,0.0,79.75839185714722,0.9287037037037037,0.9248767923898574,0.9283213258668078,0.9272237196765498,0.9555555555555556,0.9411764705882353,360,0.9645776566757494,0.9833333333333333,0.9738651994497937,360,0.9164420485175202,0.9444444444444444,0.9302325581395349,360,0.8767123287671232,0.8533333333333334,0.8648648648648649,300,0.9255663430420712,0.9533333333333334,0.9392446633825944,300,0.8804780876494024,0.9208333333333333,0.90020366598778,240,0.927797833935018,0.8566666666666667,0.8908145580589255,300,0.9510869565217391,0.9722222222222222,0.9615384615384616,360,0.8939929328621908,0.8433333333333334,0.8679245283018868,300,0.9914529914529915,0.9666666666666667,0.9789029535864979,360
Voting_Image,symmetric,0.0,4,12960,3240,0.0,80.53940463066101,0.9342592592592592,0.9317304567341976,0.9340200411512712,0.9243243243243243,0.95,0.936986301369863,360,0.959349593495935,0.9833333333333333,0.9711934156378601,360,0.9175531914893617,0.9583333333333334,0.9375,360,0.9130434782608695,0.84,0.875,300,0.9294871794871795,0.9666666666666667,0.9477124183006536,300,0.9475982532751092,0.9041666666666667,0.9253731343283582,240,0.9236111111111112,0.8866666666666667,0.9047619047619048,300,0.9529085872576177,0.9555555555555556,0.9542302357836339,360,0.8741935483870967,0.9033333333333333,0.8885245901639345,300,0.9914040114613181,0.9611111111111111,0.9760225669957687,360
Voting_Image,symmetric,0.1,0,12960,3240,10.339506172839506,101.49540448188782,0.9367283950617284,0.9338437585687702,0.936537426035795,0.9281767955801105,0.9333333333333333,0.9307479224376731,360,0.9807162534435262,0.9888888888888889,0.9847856154910097,360,0.9098143236074271,0.9527777777777777,0.9308005427408412,360,0.8896551724137931,0.86,0.8745762711864407,300,0.941747572815534,0.97,0.9556650246305419,300,0.925,0.925,0.925,240,0.8986486486486487,0.8866666666666667,0.8926174496644296,300,0.9802816901408451,0.9666666666666667,0.9734265734265735,360,0.9,0.87,0.8847457627118644,300,0.9888268156424581,0.9833333333333333,0.9860724233983287,360
Voting_Image,symmetric,0.1,1,12960,3240,10.501543209876543,101.97445249557495,0.9395061728395062,0.9368734437908731,0.9394146174910757,0.9473684210526315,0.95,0.9486823855755895,360,0.9615384615384616,0.9722222222222222,0.9668508287292817,360,0.9,0.95,0.9243243243243243,360,0.90625,0.87,0.8877551020408163,300,0.9667774086378738,0.97,0.9683860232945092,300,0.907563025210084,0.9,0.9037656903765691,240,0.9444444444444444,0.9066666666666666,0.9251700680272109,300,0.9594594594594594,0.9861111111111112,0.9726027397260274,360,0.893687707641196,0.8966666666666666,0.8951747088186356,300,0.9914040114613181,0.9611111111111111,0.9760225669957687,360
Voting_Image,symmetric,0.1,2,12960,3240,10.123456790123457,100.71906876564026,0.9388888888888889,0.936949026113935,0.9387416532996931,0.9351351351351351,0.9611111111111111,0.947945205479452,360,0.9486486486486486,0.975,0.9616438356164384,360,0.9,0.95,0.9243243243243243,360,0.9305555555555556,0.8933333333333333,0.9115646258503401,300,0.9442622950819672,0.96,0.9520661157024793,300,0.9291666666666667,0.9291666666666667,0.9291666666666667,240,0.9416058394160584,0.86,0.8989547038327527,300,0.9667590027700831,0.9694444444444444,0.9680998613037448,360,0.8980263157894737,0.91,0.9039735099337748,300,0.9885057471264368,0.9555555555555556,0.9717514124293786,360
Voting_Image,symmetric,0.1,3,12960,3240,9.62962962962963,101.20970344543457,0.9274691358024691,0.9235908796149632,0.9270827234600965,0.9171122994652406,0.9527777777777777,0.9346049046321526,360,0.9595687331536388,0.9888888888888889,0.9740082079343365,360,0.9110512129380054,0.9388888888888889,0.9247606019151847,360,0.8932384341637011,0.8366666666666667,0.8640275387263339,300,0.9290322580645162,0.96,0.9442622950819672,300,0.875,0.9041666666666667,0.889344262295082,240,0.9142857142857143,0.8533333333333334,0.8827586206896552,300,0.9509536784741145,0.9694444444444444,0.9601100412654745,360,0.8969072164948454,0.87,0.883248730964467,300,0.9971181556195965,0.9611111111111111,0.9787835926449788,360
Voting_Image,symmetric,0.1,4,12960,3240,10.154320987654321,101.21073865890503,0.9351851851851852,0.9329369853736849,0.9350810064705836,0.927027027027027,0.9527777777777777,0.9397260273972603,360,0.9513513513513514,0.9777777777777777,0.9643835616438357,360,0.9287671232876712,0.9416666666666667,0.9351724137931035,360,0.9017543859649123,0.8566666666666667,0.8786324786324786,300,0.9356913183279743,0.97,0.9525368248772504,300,0.9391304347826087,0.9,0.9191489361702128,240,0.9379310344827586,0.9066666666666666,0.9220338983050848,300,0.9505494505494505,0.9611111111111111,0.9558011049723757,360,0.8745980707395499,0.9066666666666666,0.8903436988543372,300,0.9941860465116279,0.95,0.9715909090909091,360
